,v_max_1,Ka2_1,Ka3_1,K_g6p_1,Ks_g6p_pgi,kcat_f_2,kcat_f_3,Ks_fbp_4,kcat_f_4,kcat_f_5,kcat_f_6,kcat_f_7,kcat_f_8,Ks_3pg_8,kcat_f_9,Ks_2pg_9
v_max_1,44.124306958982224,-3292.8867930613105,-247.57789214715356,0.36506270747367386,-0.7028655093146425,0.00970290126391779,0.01607399146747731,-3014.5261051557086,122.09168475980924,0.0020661470564754822,0.03130965145974906,0.02385594148734153,0.08245337238271508,-30.766094123852707,0.5531246124473768,-307.61888929996434
Ka2_1,-3292.8867930613105,373976.8656040306,17504.141677340216,-29.544608852576346,57.304141484643374,-0.7912677140741945,-1.278287625221734,161067.7974821356,-6275.017182446208,-0.14750744675782992,-2.260003049354556,-1.7048362271945756,-5.738243156298231,2156.703179943629,-39.18891627887448,21930.859735033308
Ka3_1,-247.5778921471536,17504.141677340216,1396.5176991841593,-2.0306357767599597,3.9065376051043508,-0.05392737368952962,-0.08958243144519576,17370.1572378933,-705.2254340349456,-0.011642547338038543,-0.17623420756137123,-0.1343857839568181,-0.4659536218845555,173.74668202788504,-3.119698227433401,1733.9980033463132
K_g6p_1,0.3650627074736739,-29.544608852576346,-2.0306357767599597,0.0042024496470543125,-0.00801217028462189,0.00011134487530136139,0.00019708512785143777,-79.7684005865066,3.4824890538928153,1.629981094865678e-05,0.00025928860974889747,0.00020352546457482915,0.0007013048030820629,-0.2620436683948311,0.004718550410797703,-2.6272315859123725
Ks_g6p_pgi,-0.7028655093146425,57.304141484643374,3.9065376051043508,-0.00801217028462189,4.666104217227244,-0.06500643910921222,-0.08283613708619195,143.0574074994599,-6.148534608271596,-3.158766224912364e-05,-0.0005052672557515868,-0.00039109698523891943,-0.0013973692373986278,0.5223676000359055,-0.00905999350422351,5.044774576917237
kcat_f_2,0.00970290126391779,-0.7912677140741944,-0.05392737368952962,0.00011134487530136139,-0.06500643910921222,0.0009058993898380159,0.0011581484544286543,-2.0070994177405685,0.08630329958941672,4.3556897749753463e-07,6.975560827926962e-06,5.401653427073238e-06,1.9313191610809013e-05,-0.007219254501342905,0.0001251956457821107,-0.06971201241743849
kcat_f_3,0.01607399146747731,-1.278287625221734,-0.08958243144519576,0.00019708512785143777,-0.08283613708619195,0.0011581484544286543,0.005514270718245601,-4.413453417759689,0.19315076135233902,7.00377280598329e-07,1.134402255534694e-05,9.006148540072632e-06,3.2420798134135224e-05,-0.012062403119248803,0.00020916997213073183,-0.1164561978578365
Ks_fbp_4,-3014.526105155709,161067.79748213556,17370.1572378933,-79.7684005865066,143.0574074994599,-2.0070994177405685,-4.413453417759688,8755754.025397917,-399646.68292216636,-0.07429585999451498,-2.400505482650223,-2.1459753427323234,-6.201164831855635,2308.623419269132,-45.317106532095295,25157.857334492728
kcat_f_4,122.09168475980924,-6275.017182446208,-705.2254340349457,3.4824890538928153,-6.148534608271596,0.08630329958941671,0.19315076135233902,-399646.68292216636,18398.731651271224,0.0030432779768423623,0.10010667644039022,0.09217183967943796,0.24855062231888428,-92.50128215420706,1.8924239586759262,-1050.3563970277744
kcat_f_5,0.0020661470564754822,-0.14750744675782992,-0.011642547338038543,1.629981094865678e-05,-3.158766224912364e-05,4.3556897749753463e-07,7.003772805983289e-07,-0.07429585999451499,0.0030432779768423623,9.948670681770353e-08,1.4818843848505348e-06,1.1315929472104011e-06,3.856922769906239e-06,-0.0014380539332782291,2.6039898831821807e-05,-0.014472468022375532
kcat_f_6,0.03130965145974906,-2.2600030493545558,-0.17623420756137123,0.00025928860974889747,-0.0005052672557515867,6.975560827926963e-06,1.134402255534694e-05,-2.4005054826502232,0.10010667644039022,1.4818843848505346e-06,2.2464251403234992e-05,1.7199292822323032e-05,5.8475679300214297e-05,-0.021806420122593963,0.00039535239374472586,-0.2197551986574642
kcat_f_7,0.02385594148734153,-1.7048362271945756,-0.1343857839568181,0.00020352546457482915,-0.0003910969852389195,5.401653427073239e-06,9.006148540072633e-06,-2.1459753427323234,0.09217183967943796,1.1315929472104011e-06,1.7199292822323036e-05,1.3337329311767125e-05,4.427196399219872e-05,-0.016504742494308465,0.00030235426070756297,-0.1680134713853442
kcat_f_8,0.08245337238271508,-5.738243156298231,-0.4659536218845555,0.0007013048030820629,-0.0013973692373986278,1.9313191610809013e-05,3.242079813413522e-05,-6.201164831855636,0.24855062231888425,3.856922769906239e-06,5.84756793002143e-05,4.427196399219872e-05,0.00016132091626165038,-0.06018082004272014,0.0010517809703991055,-0.584816328512067
Ks_3pg_8,-30.766094123852707,2156.703179943629,173.74668202788504,-0.2620436683948311,0.5223676000359054,-0.007219254501342905,-0.012062403119248803,2308.623419269132,-92.50128215420706,-0.0014380539332782291,-0.021806420122593963,-0.016504742494308465,-0.06018082004272014,22.45281824844562,-0.39227698121625754,218.13567694912007
kcat_f_9,0.5531246124473768,-39.18891627887447,-3.119698227433401,0.004718550410797703,-0.00905999350422351,0.0001251956457821107,0.00020916997213073183,-45.317106532095295,1.8924239586759262,2.6039898831821807e-05,0.0003953523937447259,0.00030235426070756297,0.0010517809703991055,-0.39227698121625754,0.00705748984871237,-3.9233294654104527
Ks_2pg_9,-307.61888929996434,21930.859735033308,1733.9980033463132,-2.6272315859123725,5.044774576917237,-0.0697120124174385,-0.1164561978578365,25157.857334492728,-1050.3563970277744,-0.014472468022375532,-0.2197551986574642,-0.1680134713853442,-0.584816328512067,218.13567694912007,-3.923329465410453,2181.1916831144617
