,std,cv_percent,identifiable,subspace_proj,max_abs_sens
v_max_1,3154.458847566791,4747.404219132697,True,0.8146908412496605,0.0047971393907447904
Ka2_1,,,False,0.38114255938206576,0.2612770131140702
Ka3_1,482.2645985176021,4728.763127868642,True,0.8138523510380395,0.027333710866975083
K_g6p_1,123.11012932859956,1127.2713769259408,True,0.9898068159036385,0.0002443468353146125
Ks_g6p_pgi,27.850471123543365,406.81713665382205,True,0.99996363780058,0.03631812805122025
kcat_f_2,2001.4376464255902,383.4402823071755,True,0.9999683377242045,0.0005145687764637511
kcat_f_3,16.17192538816451,2.1556308508024653,True,0.999999999350261,0.0008261654670250515
Ks_fbp_4,0.014285822571237056,458.8135634353292,True,0.9930616154632382,18.734123698147013
kcat_f_4,0.287271581683889,7.827439049011482,True,0.9999980099243764,0.8822861275561349
kcat_f_5,,,False,0.2711680051986363,2.0734075976386146e-07
kcat_f_6,10060.056693738185,2408.8006472298125,True,0.7340723373352036,4.189263812251826e-06
kcat_f_7,4263.964013817269,432.8710445646891,True,0.9959122472991746,4.18372706232373e-06
kcat_f_8,76128.44082958183,8377.16852297764,True,0.5521995480522868,0.00041148475036897864
Ks_3pg_8,,,False,0.4496105511883553,0.1381328372029276
kcat_f_9,14533.179283838304,5109.921605086761,True,0.5543726847372873,9.177843524497786e-05
Ks_2pg_9,,,False,0.45018045835298925,0.05063620118694451
