param,value
v_max_1,80.28524201123827
Ka1_1,0.0017093158883137
Ka2_1,0.0297154515178516
Ka3_1,6.467002597238968
K_g6p_1,11.24250508132913
Ks_g6p_pgi,6.177563226944908
Kp_f6p_pgi,10.053133795617752
kcat_f_2,504.70448059948575
Ks_f6p_3,0.6624396521904556
Ks_atp_3,2.0123188588691208
Kp_fbp_3,9.994058559613192
Kp_adp_3,10.024400588123411
kcat_f_3,753.105419453788
Ks_fbp_4,0.0031357653791114
Kp_g3p_4,10.068125505743485
Kp_dhap_4,10.144934970862984
kcat_f_4,3.670839218343539
kcat_f_5,2052.455390257924
Ks_dhap_5,0.0012273414187519
Kp_g3p_5,10.797906416294284
kcat_f_6,368.0700672820438
Ks_g3p_6,1.071529795669161
Ks_pi_6,6.862286322538351
Ks_nad_6,0.001017726660131
Kp_pgp_6,9.987748072000874
Kp_nadh_6,10.00296694182834
kcat_f_7,983.8539930093744
Ks_pgp_7,0.0014479031109328
Ks_adp_7,0.0014479031109329
Ks_3pg_7,9.48348841628496
Ks_atp_7,9.358753432485184
kcat_f_8,694.4787140629461
Ks_3pg_8,2.6239503455697104
Ks_2pg_8,9.95022539887144
kcat_f_9,236.8724461890369
Ks_2pg_9,0.2330358239330593
Ks_pep_9,7.461119119264586
