param,value
v_max_1,75.94770155231049
Ka1_1,0.0017093158883137
Ka2_1,0.0659766745775291
Ka3_1,6.805769757611634
K_g6p_1,11.022370183598388
Ks_g6p_pgi,6.215532234274075
Kp_f6p_pgi,10.053133795617752
kcat_f_2,529.0556574955078
Ks_f6p_3,0.6645387274700965
Ks_atp_3,2.010080309653304
Kp_fbp_3,9.994058559613192
Kp_adp_3,10.024400588123411
kcat_f_3,771.2295925574713
Ks_fbp_4,0.0031370096545687
Kp_g3p_4,10.068125505743485
Kp_dhap_4,10.144934970862984
kcat_f_4,3.671318695416455
kcat_f_5,2374.9544638151383
Ks_dhap_5,0.0012273414187519
Kp_g3p_5,10.797906416294284
kcat_f_6,371.19928101161986
Ks_g3p_6,1.071529795669161
Ks_pi_6,6.862286322538351
Ks_nad_6,0.001017726660131
Kp_pgp_6,9.987748072000874
Kp_nadh_6,10.00296694182834
kcat_f_7,986.2666725575644
Ks_pgp_7,0.0014479031109328
Ks_adp_7,0.0014479031109329
Ks_3pg_7,9.48348841628496
Ks_atp_7,9.358753432485184
kcat_f_8,581.9153952392758
Ks_3pg_8,2.464532596478296
Ks_2pg_8,9.95022539887144
kcat_f_9,278.99279465555793
Ks_2pg_9,0.1559498072704688
Ks_pep_9,7.461119119264586
