,v_max_1,Ka2_1,Ka3_1,K_g6p_1,Ks_g6p_pgi,kcat_f_2,kcat_f_3,kcat_f_4,kcat_f_5,kcat_f_6,kcat_f_7,kcat_f_8,Ks_3pg_8,kcat_f_9,Ks_2pg_9
v_max_1,68.15167539673887,-28338.74739756448,-584.2575089444781,0.29401451342300683,-0.5761989132161216,0.0018397564841305984,0.018585918014757424,121.57747601011957,0.0024220839408979826,28.97206525349695,0.027194312354359634,0.05892783055276048,-85.77559076810765,0.07478404482125181,-532.6196654487884
Ka2_1,-28338.74739756448,15687659.740339033,195301.53999755016,-134.30354923653982,245.39530189160973,-0.7857868225725875,-8.476271666596656,-26056.893059791324,-0.8001817163068373,-9226.319132985103,-8.452785439632912,-18.638994273467905,25413.89781702105,-23.415531935226696,148808.58097813957
Ka3_1,-584.2575089444781,195301.53999755016,5590.407034168582,-2.373697789783109,4.869247389513668,-0.015520097736252231,-0.15025206944734038,-1345.3456880405388,-0.023281067948209493,-282.7905583879364,-0.2679149195690754,-0.5768090598180382,860.6217152447679,-0.7348579316562344,5453.457981495921
K_g6p_1,0.29401451342300683,-134.30354923653982,-2.3736977897831086,0.002175848240561487,-0.003717125980053083,1.2225510688596252e-05,0.00014791319856483195,1.815232736768732,9.139417558158274e-06,0.11358427158366786,0.00010702916535004539,0.00025104264519887316,-0.35190872266171247,0.00031270311198970506,-2.101386339904201
Ks_g6p_pgi,-0.5761989132161216,245.39530189160976,4.869247389513668,-0.003717125980053083,5.113833873167211,-0.016457437188790253,-0.10052950982432565,-3.5469457281142427,-1.8948929370331316e-05,-0.23969303388083474,-0.00022393456468430272,-0.0005526273989056109,0.7958675377281842,-0.000649470196558967,4.525006353311206
kcat_f_2,0.001839756484130598,-0.7857868225725875,-0.01552009773625223,1.2225510688596252e-05,-0.016457437188790253,5.325977897346542e-05,0.00033552826241268363,0.012035988103910539,6.00585440143298e-08,0.0007628211154371671,7.13906161432642e-07,1.778579737088981e-06,-0.002556940320406783,2.0774318874805455e-06,-0.014456872960297653
kcat_f_3,0.018585918014757424,-8.476271666596656,-0.15025206944734038,0.00014791319856483195,-0.10052950982432565,0.00033552826241268363,0.007788782595001,0.14636840434358583,5.63088080386176e-07,0.007158438363164396,6.8009525526814766e-06,1.8111176155821104e-05,-0.025356815114686015,1.9885333419424103e-05,-0.13420892328280698
kcat_f_4,121.57747601011955,-26056.893059791324,-1345.3456880405388,1.815232736768732,-3.5469457281142427,0.012035988103910539,0.14636840434358583,17187.841183671204,0.0028820997626399906,78.6503399315507,0.08511573765575285,0.1550466027604867,-241.43302117051263,0.21616916826139665,-1729.8842441961615
kcat_f_5,0.0024220839408979826,-0.8001817163068373,-0.02328106794820949,9.139417558158275e-06,-1.8948929370331312e-05,6.005854401432978e-08,5.63088080386176e-07,0.0028820997626399906,9.922789766144527e-08,0.0011846378710541378,1.1247958920182634e-06,2.3822976307289283e-06,-0.0035531174456210506,3.0584548029069743e-06,-0.022694668936838542
kcat_f_6,28.97206525349695,-9226.319132985103,-282.7905583879364,0.11358427158366788,-0.2396930338808347,0.0007628211154371672,0.007158438363164396,78.6503399315507,0.0011846378710541378,14.430755898428758,0.013717000911407281,0.029208465511972512,-43.77586216084816,0.03742338157065907,-279.82307252607313
kcat_f_7,0.027194312354359634,-8.452785439632912,-0.2679149195690754,0.00010702916535004539,-0.0002239345646843027,7.139061614326419e-07,6.8009525526814766e-06,0.08511573765575285,1.1247958920182632e-06,0.013717000911407281,1.319507835762265e-05,2.756009820504046e-05,-0.04139978217950917,3.558833997325713e-05,-0.26714714672878204
kcat_f_8,0.058927830552760484,-18.638994273467905,-0.5768090598180382,0.00025104264519887316,-0.0005526273989056109,1.778579737088981e-06,1.8111176155821104e-05,0.1550466027604867,2.3822976307289283e-06,0.02920846551197252,2.756009820504046e-05,6.140489789207178e-05,-0.09212543297594016,7.661900992444849e-05,-0.5723028613878217
Ks_3pg_8,-85.77559076810765,25413.89781702105,860.6217152447679,-0.35190872266171247,0.7958675377281842,-0.0025569403204067833,-0.025356815114686015,-241.43302117051263,-0.003553117445621051,-43.77586216084816,-0.041399782179509174,-0.09212543297594016,139.2255020113861,-0.1148086675480825,867.3971937017656
kcat_f_9,0.07478404482125181,-23.415531935226696,-0.7348579316562344,0.0003127031119897051,-0.000649470196558967,2.0774318874805455e-06,1.9885333419424103e-05,0.21616916826139665,3.0584548029069743e-06,0.03742338157065907,3.558833997325713e-05,7.661900992444849e-05,-0.1148086675480825,9.810498160346878e-05,-0.7334282442718753
Ks_2pg_9,-532.6196654487883,148808.58097813957,5453.45798149592,-2.101386339904201,4.525006353311206,-0.014456872960297653,-0.13420892328280698,-1729.8842441961615,-0.02269466893683854,-279.8230725260731,-0.267147146728782,-0.5723028613878218,867.3971937017654,-0.7334282442718751,5582.8835356388745
