param,value
v_max_1,1465.3744517526989
Ka1_1,27.395598149899627
Ka2_1,14.745624634630119
Ka3_1,51.697624649650834
Ks_g6p_pgi,23.676136885877703
Kp_f6p_pgi,85.30689499654089
kcat_f_2,9967.768255351863
Ks_f6p_3,5.191914727896773
Ks_atp_3,3.9596766981555183
Kp_fbp_3,55.90144358128571
Kp_adp_3,55.763878347094355
kcat_f_3,9983.66029808667
Ks_fbp_4,26.81925000368272
Kp_g3p_4,54.865210951955824
Kp_dhap_4,53.80362689712913
kcat_f_4,2100.2566515648373
kcat_f_5,3386.9498554685006
Ks_dhap_5,0.00010404214562096321
Kp_g3p_5,31.324829265130354
kcat_f_6,2512.117399561196
Ks_g3p_6,11.228300362025783
Ks_pi_6,0.00010021577142197883
Ks_nad_6,1.7827576060689985
Kp_pgp_6,40.39617967807713
Kp_nadh_6,53.85014082071614
kcat_f_7,5025.155403364823
Ks_pgp_7,0.18020534726407594
Ks_adp_7,0.00010007839680338068
Ks_3pg_7,35.519696386718884
Ks_atp_7,31.82878704622556
kcat_f_8,1343.4240894151371
Ks_3pg_8,2.637562936180892
Ks_2pg_8,54.10884833881525
kcat_f_9,6781.010518739451
Ks_2pg_9,1.9209277003701268
Ks_pep_9,56.27592684288453
