,theta,std_err,ci_low,ci_high,cv_percent
v_max_1,25.739,1636.1014812514336,-3180.9609783054443,3232.4389783054444,6356.507561488144
Ka1_1,1.0,62.62765046490846,-121.74793934758375,123.74793934758375,6262.7650464908465
Ka2_1,0.01,8.903753727452308,-17.441036633020783,17.461036633020786,89037.53727452307
Ka3_1,1.0,70.79066382895073,-137.74715154642575,139.74715154642575,7079.066382895073
K_g6p_1,0.5,3.25119629504633e-05,0.49993627772355037,0.5000637222764496,0.00650239259009266
Ks_g6p_pgi,1.018,1.4554217278024149,-1.8345741688097912,3.8705741688097914,142.96873554051226
Kp_f6p_pgi,0.078,2.3298553416544285,-4.488432558830943,4.644432558830943,2986.9940277620876
kcat_f_2,21.82018335434187,49.056079164356575,-74.32796503054277,117.9683317392265,224.8197385316434
Ks_f6p_3,0.013,0.017352183042200646,-0.02100965381585994,0.047009653815859934,133.47833109385112
Ks_atp_3,0.02,0.02669560644958635,-0.03232242718664442,0.07232242718664443,133.47803224793176
Kp_fbp_3,0.14,0.18144125729557492,-0.21561832960899213,0.49561832960899216,129.60089806826778
Kp_adp_3,0.1629599675546568,0.21119852012789445,-0.250981525484174,0.5769014605934877,129.60147409029057
kcat_f_3,7.3677668245852415,31.44796620964279,-54.269114333347225,69.00464798251771,426.83172470530934
Ks_fbp_4,0.24,0.8474446723471075,-1.4209610366906775,1.9009610366906775,353.1019468112948
Kp_g3p_4,1.696481875288688,9.303123604518406,-16.53730533329184,19.930269083869213,548.37742389292
Kp_dhap_4,0.8298912209952622,4.550936019061291,-8.089779472310957,9.749561914301482,548.3774142837055
kcat_f_4,0.95,0.9888227014241365,-0.9880568818869109,2.888056881886911,104.08660014990912
kcat_f_5,1201.2,237417.52092541306,-464128.59031259426,466530.9903125943,19765.02838206902
Ks_dhap_5,1.03,432.674932081486,-846.9972838930266,849.0572838930266,42007.27495936757
Kp_g3p_5,0.1970203638706809,72.17259094109258,-141.25865855161254,141.6526992793539,36632.04631398652
kcat_f_6,77.63443960193618,3321.544256653932,-6432.472676495637,6587.741555699508,4278.441724684123
Ks_g3p_6,0.89,175.2924959281559,-342.67697877931965,344.4569787793196,19695.786059343358
Ks_pi_6,0.53,104.38766610435586,-204.06606599473005,205.12606599473006,19695.786057425634
Ks_nad_6,0.045,8.863103724606738,-17.326364091472016,17.41636409147202,19695.786054681637
Kp_pgp_6,2.373849212244337,0.0008949792369837831,2.372095085172938,2.3756033393157363,0.037701604312838054
Kp_nadh_6,2.1813821039784544,0.0008224160495530601,2.1797701981410227,2.182994009815886,0.03770160432017476
kcat_f_7,23.93237327590121,620.880726391689,-1192.9714891468766,1240.836235698679,2594.3132310111805
Ks_pgp_7,0.7383772418528678,9.66678389731168,-18.208171043209767,19.6849255269155,1309.19309932333
Ks_adp_7,0.7101199164590845,9.297010289198626,-17.511685414268534,18.931925247186705,1309.2169468442587
Ks_3pg_7,0.7918776291566497,0.1871020507406281,0.4251643482714329,1.1585909100418665,23.627646981250365
Ks_atp_7,0.6318473057639588,0.14929037393845798,0.339243549606064,0.9244510619218536,23.627603152941017
kcat_f_8,41.602,178.692319510215,-308.62851055394543,391.8325105539454,429.52819458250804
Ks_3pg_8,0.2,1.1424107713002503,-2.039083967299115,2.439083967299115,571.2053856501251
Ks_2pg_8,0.19,18.598086881115467,-36.26158046833318,36.641580468333174,9788.466779534456
kcat_f_9,48.78848111786532,13686.800114578262,-26776.84680705421,26874.423769289944,28053.34333223676
Ks_2pg_9,0.1,28.636588524576922,-56.02668214826377,56.22668214826377,28636.58852457692
Ks_pep_9,1.507480927617192,741.3874999203467,-1451.5853175044545,1454.600279359689,49180.55587557084
