,v_max_1,Ka2_1,K_g6p_1,kcat_f_2,kcat_f_3,kcat_f_4
v_max_1,1.0,0.17240321460243418,0.09625398811501466,0.22556438489708933,-0.2653186677458944,-0.061274747592937315
Ka2_1,0.1724029847748187,1.0,0.9905015292262846,-0.1974613291761643,-0.1449013202517992,0.05861251804233628
K_g6p_1,0.096253755175265,0.9905015149340519,1.0,-0.24224761056015376,-0.16676200571249927,0.05322695206723301
kcat_f_2,0.22556426555644682,-0.19746146478961585,-0.24224773657361773,1.0,0.01776167889783841,-0.0931215035723229
kcat_f_3,-0.26531849024682186,-0.1449010924524804,-0.16676178822339185,0.017761708665939978,1.0,0.04286844557898474
kcat_f_4,-0.061274875303169885,0.05861258337761531,0.053227023119508325,-0.09312120713649429,0.042868114861036664,1.0
