param_fixed,theta,std_err,ci_low,ci_high,cv_percent,variance,ci_crosses_zero
Kp_pgp_6,0.4082622791468254,17.770400951715388,-34.421723586215336,35.23824814450899,4352.692340044603,315.78714998472714,True
Ks_2pg_8,0.4148141276635629,17.95651132798814,-34.77994807519319,35.60957633052031,4328.809008778953,322.4362990721663,True
Kp_nadh_6,0.4133603571118465,15.837208027853952,-30.627567377481903,31.454288091705592,3831.332094472896,250.81715811752167,True
Kp_dhap_4,0.2622531848083933,7.9751559583021026,-15.369052493463728,15.893558863080514,3041.0139591360494,63.60311255924153,True
Kp_g3p_4,0.0001126404733842,0.0034148397973367,-0.0065804455293957,0.0068057264761642,3031.6277042681627,1.166113084147478e-05,True
Ks_nad_6,0.0002130666617897,0.0027150250362033,-0.0051083824091687,0.0055345157327483,1274.260840901568,7.371360947210937e-06,True
Ks_pi_6,0.6418735912360193,6.701900794119552,-12.493851965238305,13.77759914771034,1044.1153656460745,44.91547425422027,True
Kp_g3p_5,0.4703418735673558,4.301793373041558,-7.9611731375940975,8.90185688472881,914.6099071329048,18.505426224344266,True
Ks_dhap_5,0.0018531381229085,0.0115537350995336,-0.0207921826721773,0.0244984589179945,623.4686425531868,0.0001334887947501,True
Ks_atp_7,1.0845764107464344,4.281327481827549,-7.306825453635561,9.47597827512843,394.74650558562536,18.32976500665182,True
Ks_pep_9,0.4688267412796507,1.672787320743763,-2.809836407378125,3.747489889937426,356.80288120467105,2.798217420441097,True
Kp_f6p_pgi,0.910179420389708,3.037205010442547,-5.0427424000776835,6.8631012408571,333.6929996881405,9.224614275457313,True
Ks_3pg_7,1.0888395290045665,2.687520398124413,-4.178700451319283,6.356379509328416,246.82428645673667,7.222765890334804,True
Ks_g3p_6,1.081178142901276,1.9450617079959391,-2.7311428047707644,4.893499090573316,179.90205599018898,3.78326504791208,True
Ks_2pg_9,0.0001009547610789,0.0001390474911386,-0.0001715783215528,0.0003734878437106,137.73247507357567,1.933420479195244e-08,True
Ks_3pg_8,0.00010273048813,0.000138526345185,-0.0001687811484326,0.0003742421246927,134.8444339227923,1.918954831033163e-08,True
kcat_f_5,1272.0746858674995,1012.1727891023968,-711.783980773198,3255.933352508197,79.56866057845801,1024493.7549993248,True
Ks_f6p_3,0.2297871360658692,0.1752405243610164,-0.113684291681723,0.5732585638134615,76.2621125626385,0.030709241378324,True
kcat_f_6,6.708855476280818,4.810422575148631,-2.7195727710104984,16.137283723572136,71.70258164236652,23.140165351499583,True
Ks_adp_7,0.0007669903908834,0.0005290414047931,-0.0002699307625112,0.001803911544278,68.97627546335049,2.798848079855345e-07,True
Kp_adp_3,0.5488832192872956,0.3557360426369205,-0.1483594242810686,1.2461258628556595,64.81087964373013,0.1265481320309769,True
Ks_atp_3,0.1792042369514452,0.1086849932098843,-0.033818349739928,0.3922268236428184,60.648673858828545,0.0118124277490325,True
Ka3_1,0.4173203302584761,0.216991480914518,-0.0079829723339792,0.8426236328509314,51.99638387617488,0.0470853027894756,True
Ka1_1,0.0277300178635853,0.0141027740316157,8.858076161839465e-05,0.0553714549655522,50.85742858512669,0.0001988882353868,False
kcat_f_7,26.13106969868286,11.030738030474064,4.510823158953695,47.75131623841203,42.21311319310464,121.67718149694682,False
kcat_f_8,161.15580554666732,63.44594871882121,36.80174605777776,285.5098650355569,39.36932244147332,4025.3884088312902,False
Kp_fbp_3,0.6710854611037165,0.236263550502639,0.208008902118544,1.134162020088889,35.206179271722355,0.055820465296113,False
Ks_fbp_4,0.0219158474985841,0.006303350085093,0.0095612813318016,0.0342704136653665,28.761607715605372,3.973222229524295e-05,False
Ks_g6p_pgi,0.0001435086433131,2.7443005817186713e-05,8.972035191142971e-05,0.0001972969347148,19.122894052666872,7.531185682821437e-10,False
Ks_pgp_7,0.0007669903902971,6.760803725439814e-05,0.0006344786372785,0.0008995021433157,8.814717643098849,4.570846701392086e-09,False
kcat_f_9,7.525701736911986,0.4596778925880417,6.624733067439425,8.426670406384549,6.108106707623267,0.2113037649341832,False
