,std,cv_percent,identifiable,subspace_proj,max_abs_sens
v_max_1,168.68214225987586,208.26109704616348,True,0.962621703515035,0.04154788641226606
Ka1_1,0.019517925046425105,1141.8559424776386,True,0.6226035617299183,56.180147293249156
Ka2_1,0.08801513189625526,214.9143768076348,True,0.9618400107196781,61.80232048489956
Ka3_1,11.427726522660276,215.50600335761726,True,0.9596688303233403,0.11921256707742679
K_g6p_1,12.754230844124638,113.09209884930267,True,0.9961166521545188,0.04810116738580999
Ks_g6p_pgi,61.78574251757216,886.2895114278751,True,0.956055883839337,0.06701658832674671
Kp_f6p_pgi,,,False,0.08496866451037738,0.0015638914897882787
kcat_f_2,4374.1318824911405,872.5996964920215,True,0.9574099329738529,0.0010887600153314367
Ks_f6p_3,,,False,0.49996082067089964,1.8840648474092807
Ks_atp_3,,,False,0.4999608206606715,0.8104189604068692
Kp_fbp_3,,,False,0.0001474974205317727,0.0004663690421736344
Kp_adp_3,,,False,0.0001474974113661869,0.000464957428317073
kcat_f_3,291.9654806409195,38.88170327426416,True,0.9997924909083629,0.002493628166476244
Ks_fbp_4,,,False,0.005267989617021932,47.40340423535636
Kp_g3p_4,,,False,1.9514927986509012e-08,6.097160797773831e-08
Kp_dhap_4,,,False,1.951490112626861e-08,6.050997893726675e-08
kcat_f_4,0.5133549624450076,14.429730531911098,True,0.9999940803433248,5.5927893644638385
kcat_f_5,5639.627590768333,615.5169763286344,True,0.9928175742518542,4.433890358164194e-06
Ks_dhap_5,,,False,1.4476516275302472e-05,0.03362467304290901
Kp_g3p_5,,,False,1.6053477175221484e-10,4.787576540404846e-09
kcat_f_6,,,False,0.362316425926747,2.5460450493911025e-05
Ks_g3p_6,,,False,0.010490065234951102,0.006618933460919099
Ks_pi_6,,,False,0.010490065232762781,0.0010335308212997903
Ks_nad_6,,,False,0.010490065233714029,6.968849983759382
Kp_pgp_6,,,False,9.494397023235466e-17,8.368073158707735e-12
Kp_nadh_6,,,False,9.49042980159461e-17,8.355341674454719e-12
kcat_f_7,11481.84827055868,1167.5253339049523,True,0.9654483582308258,1.2529067998481377e-05
Ks_pgp_7,,,False,0.0015155378665366612,0.6820310244448119
Ks_adp_7,,,False,0.001515537866476225,0.6820310244447387
Ks_3pg_7,,,False,1.663457163521557e-09,5.4659168386551394e-08
Ks_atp_7,,,False,1.6634571593918005e-09,5.538767464888758e-08
kcat_f_8,9283.014064926263,1651.7824114847854,True,0.5479687976578685,0.002005221386578462
Ks_3pg_8,60.2894500459744,1673.1200936842426,True,0.5103665567457498,0.24393199531406204
Ks_2pg_8,,,False,0.0003848461548719565,0.00018773242504595958
kcat_f_9,11820.310566236969,4773.000655910224,True,0.5622265471509066,0.0005046624211289334
Ks_2pg_9,21.77766186220544,4809.734244201484,True,0.5094079810652533,0.26085102393902704
Ks_pep_9,,,False,0.00799068554968944,0.00021727554938018214
