,theta,std_err,ci_low,ci_high,cv_percent
v_max_1,80.9955121971174,0.0,80.9955121971174,80.9955121971174,0.0
Ka1_1,0.00170931588831376,0.0025396302748181402,-0.003268359450329795,0.0066869912269573156,148.57583037641365
Ka2_1,0.04095358030655888,0.3687051009175823,-0.6817084174919024,0.7636155781050202,900.3000425301831
Ka3_1,5.3027416149037645,24.57537029460757,-42.86498416252707,53.470467392334605,463.4464976671048
K_g6p_1,11.277738209739912,5836.952568845046,-11429.14929672655,11451.704773146028,51756.41126164834
Ks_g6p_pgi,6.971282151137156,0.4685322150581899,6.052959009623104,7.889605292651208,6.720890144745654
Kp_f6p_pgi,10.053133795617752,0.0,10.053133795617752,10.053133795617752,0.0
kcat_f_2,501.27588859769156,0.0,501.27588859769156,501.27588859769156,0.0
Ks_f6p_3,0.9077496265788726,687.5125576478999,-1346.6168633633051,1348.4323626164628,75738.12618783416
Ks_atp_3,2.110339522199133,2718.446824571185,-5326.045436637323,5330.266115681721,128815.61454804953
Kp_fbp_3,9.994058559613192,269.5506027964771,-518.3251229214819,538.3132400407084,2697.1084989010683
Kp_adp_3,10.024400588123411,694.8561970237514,-1351.8937455784294,1371.9425467546762,6931.648340619935
kcat_f_3,750.9071261139214,0.0,750.9071261139214,750.9071261139214,0.0
Ks_fbp_4,0.0010261604055045775,1.097574246704873e-05,0.001004647950269162,0.001047672860739993,1.0695932534691592
Kp_g3p_4,10.068125505743485,293.2551744997128,-564.7120165136935,584.8482675251805,2912.708769198614
Kp_dhap_4,10.144934970862984,295.4930076113879,-569.0213599474573,589.3112298891833,2912.7146547520124
kcat_f_4,3.5576198828504246,0.0,3.5576198828504246,3.5576198828504246,0.0
kcat_f_5,916.2424120951044,0.0,916.2424120951044,916.2424120951044,0.0
Ks_dhap_5,0.0012273414187519264,3.6079206711605283e-06,0.0012202698942364518,0.001234412943267401,0.2939622680402486
Kp_g3p_5,10.797906416294285,0.0,10.797906416294285,10.797906416294285,0.0
kcat_f_6,348.23182564054156,305.8909251866391,-251.31438772527105,947.7780390063542,87.84117437399063
Ks_g3p_6,1.071529795669161,0.000779882793395016,1.0700012253941067,1.0730583659442152,0.07278218455026592
Ks_pi_6,6.862286322538351,21006.00268123293,-41164.902968894006,41178.627541539085,306107.9310002157
Ks_nad_6,0.0010177266601310792,0.0007798827933816977,-0.0005108436148970482,0.0025462969351592066,76.62988736889842
Kp_pgp_6,9.987748072000874,1658122.7392369395,-3249910.5811563293,3249930.5566524733,16601567.513354018
Kp_nadh_6,10.00296694182834,0.0,10.00296694182834,10.00296694182834,0.0
kcat_f_7,983.4346148323846,0.0,983.4346148323846,983.4346148323846,0.0
Ks_pgp_7,0.0014479031109328453,2.265996840326164e-05,0.0014034895728624525,0.0014923166490032381,1.5650196641032446
Ks_adp_7,0.0014479031109329292,2.2659968403310844e-05,0.00140348957286244,0.0014923166490034185,1.565019664106552
Ks_3pg_7,9.48348841628496,0.0,9.48348841628496,9.48348841628496,0.0
Ks_atp_7,9.358753432485184,0.0,9.358753432485184,9.358753432485184,0.0
kcat_f_8,561.9998130735495,1400.9077498233505,-2183.7793765802176,3307.7790027273163,249.2719245157493
Ks_3pg_8,3.60341437973026,0.000711866965761397,3.6020191204773675,3.6048096389831525,0.019755345645667458
Ks_2pg_8,9.950225398871439,5521.891703281671,-10812.957513033203,10832.857963830947,55495.14188802162
kcat_f_9,247.64946452710691,613.8087596833525,-955.4157044522639,1450.7146335064776,247.85386104324363
Ks_2pg_9,0.45278305944783,1.1719412721058737,-1.8442218338796827,2.7497879527753426,258.83063591978436
Ks_pep_9,7.461119119264586,39.5518139833905,-70.06043628818081,84.98267452670997,530.1056497177192
