kind,name,v_max_1,Ka1_1,Ka2_1,Ka3_1,K_g6p_1,Ks_g6p_pgi,Kp_f6p_pgi,kcat_f_2,Ks_f6p_3,Ks_atp_3,Kp_fbp_3,Kp_adp_3,kcat_f_3,Ks_fbp_4,Kp_g3p_4,Kp_dhap_4,kcat_f_4,kcat_f_5,Ks_dhap_5,Kp_g3p_5,kcat_f_6,Ks_g3p_6,Ks_pi_6,Ks_nad_6,Kp_pgp_6,Kp_nadh_6,kcat_f_7,Ks_pgp_7,Ks_adp_7,Ks_3pg_7,Ks_atp_7,kcat_f_8,Ks_3pg_8,Ks_2pg_8,kcat_f_9,Ks_2pg_9,Ks_pep_9
concentration,C_g6p,-4.44191358169349e-07,1.273677383421145e-05,1.581053422800758e-05,1.300345430941504e-06,-9.694779183836196e-05,0.0007038626089638083,-3.7524846374370796e-07,-1.7034278352495422e-06,0.0830121549977162,0.1088452575756641,-1.8285907144315186e-07,-1.8331017082383912e-07,-4.363188359130628e-05,8.421705103023199e-06,-9.061015335464476e-12,-9.23979565113865e-12,-1.0787330136189637e-07,-4.693879657142098e-11,6.630799416420781e-07,-1.9028190059138794e-15,-9.585465691191576e-11,9.007900224874057e-10,0.00010092564054117842,5.673424642908449e-09,-1.36956482411583e-18,-1.0273916809294575e-18,-2.6901527596047933e-10,5.359211746783992e-07,0.0009650020830840222,-1.0394037593480228e-12,-1.1599344296680001e-12,-5.5365247754291096e-09,2.513025962721798e-06,-1.3435776342972348e-10,-6.436884528249858e-10,2.2044067222695687e-06,-3.542385776845006e-10
concentration,C_f6p,-1.6911420194758206e-07,4.84919236438227e-06,6.019445964356533e-06,4.950723956363475e-07,-3.691032737533487e-05,1.1596727992329813e-07,-6.182533790170428e-11,-2.8065405106580144e-10,0.031604699092264814,0.041439974825295926,-6.961879172285992e-08,-6.979053597149095e-08,-1.6611694417159745e-05,3.2063431929615464e-06,-3.4497437854663845e-12,-3.517809698625779e-12,-4.10699283925087e-08,-1.787071489920987e-11,2.5245028544282844e-07,-7.244483975657663e-16,-3.6494144943538044e-11,3.4295216009362205e-10,3.84247888741233e-05,2.160007535438099e-09,-5.214258629522384e-19,-3.911524189233626e-19,-1.0242050609881392e-10,2.0403792217111527e-07,0.0003673992169492153,-3.957257025356435e-13,-4.416145919724985e-13,-2.107886503828728e-09,9.567686817014675e-07,-5.115319224705889e-11,-2.450674849983838e-10,8.392700054965037e-07,-1.3486704156569451e-10
concentration,C_fbp,-8.379536667629463e-05,0.0024027541600760522,0.0029826098338450653,0.00024530626314009287,-0.018288909984731476,5.746129320784921e-05,-3.063419156860019e-08,-1.390628867809609e-07,0.0067768705389302155,0.008885809787579689,-1.49280819667111e-08,-1.4964908406202927e-08,-3.5619798868742935e-06,0.0015887293967750014,-1.7093333537516348e-09,-1.7430597238380953e-09,-2.0349974607758437e-05,-8.854863107352166e-09,0.00012508804113938295,-3.589610951602235e-13,-1.808269339480308e-08,1.6993133455242648e-07,0.01903931924282855,1.0702745335533944e-06,-2.583642940574138e-16,-1.9381435751268394e-16,-5.0748924565406955e-08,0.00010109992142613667,0.18204474722712288,-1.9608040017235692e-10,-2.1881814947551926e-10,-1.044448784706248e-06,0.0004740748067049002,-2.5346188886120667e-08,-1.2142989495854402e-07,0.0004158547128772902,-6.682604463285793e-08
concentration,C_dhap,-0.0002495695467536337,0.007156174505531793,0.008883171157316778,0.0007306009310061255,-0.05447025481897765,0.00017113820812025273,-9.12384730587068e-08,-4.1417399315461765e-07,0.020183699599314125,0.0264647988210596,-4.446062829135857e-08,-4.457030926987889e-08,-1.0608721474384061e-05,2.047664394257181e-06,-2.2031071203958172e-12,-2.2465760001988174e-12,-2.6228455590464098e-08,-5.2733855060906385e-08,0.0007449437163885957,-2.13774082503587e-12,-5.385607550431447e-08,5.061101565118364e-07,0.05670521488725181,3.1876217126997625e-06,-7.694919459489439e-16,-5.772414785851591e-16,-1.5114661590969494e-07,0.0003011080751593248,0.5421877945817584,-5.839904822824527e-10,-6.517108111368786e-10,-3.1107043282432405e-06,0.0014119472153369184,-7.548910068836099e-08,-3.616572735366768e-07,0.0012385490549746711,-1.990294491435615e-07
concentration,C_g3p,-2.8184161549492686e-05,0.0008081546044532889,0.001003186222943947,8.25075612611243e-05,-0.006151385381068127,1.932682479771217e-05,-1.0303660433194217e-08,-4.677312149864007e-08,0.0022793672448147735,0.002988698641520888,-5.020987322594294e-09,-5.033373715316223e-09,-1.1980545052749313e-06,2.312449770462661e-07,-2.487992939249207e-13,-2.5370828200932833e-13,-2.9620081435151278e-09,-1.288855507508186e-12,1.8206990698536526e-08,-5.224801089477474e-17,-6.082025440121844e-09,5.7155572859415664e-08,0.0064037818630919745,3.5998160223485964e-07,-8.689956606391439e-17,-6.518851076638942e-17,-1.7069152450171476e-08,3.4004463864033686e-05,0.06122985993856222,-6.595068312666713e-11,-7.359841384319595e-11,-3.5129523798214525e-07,0.0001594527414664734,-8.525066606491776e-09,-4.084235098190473e-08,0.00013987069779325745,-2.247661311540614e-08
concentration,C_pgp,-2.7343870258104273e-07,7.840600336417511e-06,9.732769192627936e-06,8.004765536398759e-07,-5.96798607871146e-05,1.875060887803064e-07,-9.99646392084657e-11,-4.5378613217901363e-10,2.2114094862584536e-05,2.8995926577702033e-05,-4.871290056846877e-11,-4.883307157833207e-11,-1.1623353384789286e-08,2.2435056793496793e-09,-2.41381515006001e-15,-2.461441449942611e-15,-2.8736979186197758e-11,-1.2504291716317593e-14,1.7664161862764951e-10,-5.06902725759817e-19,-2.5535264501565322e-14,2.399665525324134e-13,2.6886152524656025e-08,1.5113757017830418e-12,-3.6484612548299204e-22,-2.736926848562256e-22,-1.6560247470682107e-10,3.299064428302077e-07,0.0005940433399595215,-6.398440910445803e-13,-7.14041280169569e-13,-3.4082161333078357e-09,1.5469876821781132e-06,-8.270897639450881e-11,-3.9624664523870607e-10,1.35700549638606e-06,-2.1806488434649076e-10
concentration,C_3pg,-0.00033566668864931735,0.009624929928008329,0.011947710311086802,0.0009826455127436898,-0.07326154293584518,0.00023017790579157003,-1.2271415534231254e-07,-5.570567988574145e-07,0.027146724018705565,0.03559469294867443,-5.979876979365956e-08,-5.99462887972665e-08,-1.4268545399189639e-05,2.754072911077596e-06,-2.963140667728716e-12,-3.0216055532228794e-12,-3.527681549949214e-08,-1.534996385595039e-11,2.1684094727397013e-07,-6.222614359061497e-16,-3.134646855420645e-11,2.945770933005815e-10,3.3004785780043183e-05,1.855327988115512e-09,-4.478762144622375e-19,-3.359784716187766e-19,-8.797359635108345e-11,1.7525738251298467e-07,0.0003155757734380234,-3.399066708299283e-13,-3.7932270934256683e-13,-4.183843080258787e-06,0.0018990443845603908,-1.0153152412538171e-07,-4.864227267032516e-07,0.0016658268824100337,-2.676911386294551e-07
concentration,C_2pg,-6.280606785128466e-05,0.0018009055487597035,0.0022355173445571443,0.00018386126128713834,-0.013707852438481336,4.306822707723384e-05,-2.2960853213511276e-08,-1.0423002427449653e-07,0.0050793809702105105,0.006660067191879314,-1.1188854062929267e-08,-1.1216456112412264e-08,-2.66976515926154e-06,5.153102689649462e-07,-5.544286094702315e-13,-5.653678826273444e-13,-6.600589697589457e-09,-2.8721076958473436e-12,4.0572770027179555e-08,-1.1643036268247734e-16,-5.865188636378696e-12,5.5117858559258044e-11,6.1754737752585795e-06,3.471475140323129e-10,-8.380141702104646e-20,-6.286440561337553e-20,-1.646060182904182e-11,3.279213435371302e-08,5.904688871312842e-05,-6.359940481679964e-14,-7.09744780498749e-14,-3.3877083585347183e-10,1.5376792128580613e-07,-8.221130341699604e-12,-9.101379377459944e-08,0.0003116902562662214,-5.0087269259876114e-08
concentration,C_pep,-0.00028424276306533464,0.008150396716623624,0.010117328605923933,0.0008321048382248725,-0.062037920635818304,0.00019491479539437276,-1.0391442392476628e-07,-4.7171604763255145e-07,0.02298786297293376,0.03014160837616956,-5.063763587162305e-08,-5.076255505665926e-08,-1.2082613218215344e-05,2.3321507057616094e-06,-2.5091894160535653e-12,-2.5586975185507512e-12,-2.987242996844621e-08,-1.2998359227471204e-11,1.8362105308125167e-07,-5.269313825959345e-16,-2.6544209656696655e-11,2.494480713407274e-10,2.7948473746222462e-05,1.5710929290374627e-09,-3.7926186535242233e-19,-2.8450678502710263e-19,-7.449609775776933e-11,1.4840806380424477e-07,0.00026722976714604825,-2.8783318664476494e-13,-3.2121071331561e-13,-1.5331824174610503e-09,6.959107701559805e-07,-3.720654542124376e-11,-1.7825113416145697e-10,6.104474869551811e-07,-9.809625753656245e-11
flux,v_pts,7.49224467189169e-13,-2.1483342882433476e-11,-2.666794562955488e-11,-2.193314974086036e-12,1.6352352805171222e-10,-5.137948705274238e-13,2.7392241462284755e-16,1.2434434589788889e-15,-6.05285866047498e-11,-7.936468653912829e-11,1.3333163988894043e-16,1.3366047091319478e-16,3.1814225003042253e-14,-1.4315341686776913e-11,1.5401945499172448e-17,1.5705775924940764e-17,1.8336372385381564e-13,7.912994324668634e-17,-1.1214731988829032e-12,3.209335401334282e-21,1.6278761197101183e-16,-1.5228673294930643e-15,-1.7140843893561212e-10,-9.593170415154435e-15,2.312973634843821e-24,1.7372305440483693e-24,4.563649470757043e-16,-9.085581565977035e-13,-1.6359820518777097e-09,1.7611819772750388e-18,1.9671769259879342e-18,9.38563637773646e-15,-4.260444704524871e-12,2.277763941819909e-16,1.0877813923753839e-15,-3.7251260084667336e-12,5.985639021907021e-16
