,theta_hat,profile_ci_low_95,profile_ci_high_95,profile_bounds_limited_95,fim_ci_low,fim_ci_high,cv_percent
K_g6p_1,11.022370183598388,6.057242942676884,7.962364440092728,True,-1113597914.0634823,1113597936.1082227,5154628244.31262
Ka2_1,0.0659766745775291,0.07980121664509088,0.10631872840955961,False,-1839912.932470203,1839913.064423552,1422822728.89257
Ka3_1,6.805769757611634,4.021499880473804,5.827837555137568,False,-184377282.29301056,184377295.9045501,1382210224.6899052
Ks_2pg_9,0.1559498072704688,0.2599680767702812,0.2729832635454861,False,-51.399439360873295,51.71133897541423,16866.817884633438
Ks_3pg_8,2.464532596478296,1.354361396719283,1.6788586301723698,True,-697.0857769250906,702.0148421180472,14481.992396258143
Ks_fbp_4,0.0031370096545687,0.002691435255409027,0.0036094260936496312,False,-0.0070444628155906,0.0133184821247282,165.5917380981063
Ks_g6p_pgi,6.215532234274075,3.7927728870397233,6.518048566336178,False,-69.01393127189182,81.44499574043998,617.5236149243995
kcat_f_2,529.0556574955078,564.2205968465373,630.6631297889393,False,-5561.690623549192,6619.8019385402085,587.3717762491358
kcat_f_3,771.2295925574713,617.4945764490723,743.9412825801883,False,-2740370.015036894,2741912.474222009,181339.18418558853
kcat_f_4,3.671318695416455,3.671318695416455,3.7029306094882886,True,0.4408376689137046,6.901799721919206,44.8940760009826
kcat_f_5,2374.9544638151383,2124.2669599182386,3002.885321749713,False,-1610257.0188088445,1615006.927736475,34643.67117226013
kcat_f_6,371.19928101161986,427.2879236997629,647.7696998415729,False,-13653218.37988916,13653960.778451182,1876651.569271659
kcat_f_7,986.2666725575644,996.4608752737175,998.8321844699958,False,-3747084453.325389,3747086425.8587337,193839895.30423588
kcat_f_8,581.9153952392758,405.68444824844244,543.005691589657,False,-156719.70858735938,157883.53937783794,13791.683681158926
kcat_f_9,278.99279465555793,297.9730202964029,392.19503458978534,False,-80974.8139474831,81532.7995367942,14859.173656872095
v_max_1,75.94770155231049,58.028460216518056,75.40178311838768,False,-1961271815.0937889,1961271966.989192,1317549976.5605726
