param,value,obj_value,obj_A,obj_B,obj_alt,regime,is_anchor,converged,theta_v_max_1,theta_Ka2_1,theta_Ka3_1,theta_Ks_g6p_pgi,theta_kcat_f_2,theta_kcat_f_3,theta_Ks_fbp_4,theta_kcat_f_4,theta_kcat_f_5,theta_kcat_f_6,theta_kcat_f_7,theta_kcat_f_8,theta_Ks_3pg_8,theta_kcat_f_9,theta_Ks_2pg_9,theta_K_g6p_1
K_g6p_1,11.022370183598388,84.18408392930712,84.18408392930712,138.05093373994322,138.05093373994322,A,True,True,75.18212579353018,0.020601387947761677,6.357628822805035,5.17577325593203,547.5824906328859,719.6185908860142,0.003128858069409951,3.6672095613480082,2711.6406445785065,126.30956254055448,983.0716624609853,617.3406254509584,2.1669924985656075,297.5771275230778,0.0024513018648866826,
K_g6p_1,10.526281805720197,84.94937172593767,84.94937172593767,138.63106678242667,138.63106678242667,A,False,True,75.91208002323874,0.027903668364080852,6.658189031202396,5.818612282208985,533.799825381229,762.8295225956136,0.0031285692217889235,3.666987793455212,2412.8175169747283,281.76087292439195,985.6155759589502,584.6217547323101,2.04307842774265,262.7654917692654,0.002499517396642275,
K_g6p_1,10.05252108283512,91.82019076465669,91.82019076465669,141.3940416506647,141.3940416506647,A,False,True,66.619977773492,0.42883300546690045,7.781325185181232,7.668206528985138,522.5988157548059,648.382821402075,0.004894655327402786,3.82173733993474,3584.1780475258925,397.32194105815756,974.4762267557262,596.7212401234432,3.03910836540331,375.1493303525237,0.16845290153899148,
K_g6p_1,9.600083104931716,111.36207717593953,117.57460917519246,111.36207717593953,117.57460917519246,B,False,True,71.35332218497217,0.13218075638842508,4.406180294880174,0.845021499478858,566.5988517604272,559.6987038540728,10.780717615105415,460.6874302340123,5061.820186684211,13.192241877697239,529.4879665416213,687.5141186937425,0.7680131409154475,514.9508675921455,0.03307474756203235,
K_g6p_1,9.168008190399435,111.01012121851173,116.16916043377492,111.01012121851173,116.16916043377492,B,False,True,70.0890411469261,0.015656738957935408,4.965524443645439,0.9760287809081997,542.8011637025631,595.7205034481835,10.79814712991923,458.69316759142765,5026.857388830533,11.44577802930277,519.3523554291897,721.8844966780755,0.5286976498861655,498.65737467615105,0.002075440729205088,
K_g6p_1,8.755379850415263,111.57759319575058,119.40950984330321,111.57759319575058,119.40950984330321,B,False,True,63.7214048783572,0.02191122569833778,4.393867594863158,0.5196662863111403,451.94247847021643,526.6207115830924,12.609317116722094,549.6052384001034,5036.636486752881,24.507670527560315,380.13198143349854,607.1295890750926,0.45825956887609975,432.4464168702905,0.009057586431409323,
K_g6p_1,8.361322844948043,110.80579668622634,129.4366431012794,110.80579668622634,129.4366431012794,B,False,True,63.92808765759646,0.007757573456473886,6.163541097820058,0.71551894692674,544.0722550034142,541.7383024237266,11.119167545654392,465.882939963514,5031.909261910582,151.22033248119826,479.0149933662,559.6336378497249,1.3509680996924982,480.09398660830743,0.002430550483284734,
K_g6p_1,7.985001326257042,114.52908796347678,126.53938483716018,114.52908796347678,126.53938483716018,B,False,True,68.29306434663495,0.01801332380077895,6.760839693376333,4.758564669368761,531.5778978373625,562.1322633620696,10.780258576386426,449.8612039731742,5031.128466178118,455.8303582560583,512.2703043264083,672.3958128505589,3.1183432824488824,466.26250573037845,0.20036086637069497,
K_g6p_1,7.625617065946808,82.76203211797748,82.76203211797748,110.89978950577338,110.89978950577338,A,False,True,70.71431303287945,0.02179907596892864,4.704936933343252,1.397692397976351,550.1543579833402,588.8871596347591,0.0031297150966745663,3.667620165542806,4974.962535435451,67.56797013823878,867.8270211290167,668.9558131205424,2.14971386347497,485.8627234986207,0.0032764579603760374,
K_g6p_1,7.282407761817737,110.95982287673087,117.5927726075177,110.95982287673087,117.5927726075177,B,False,True,70.6576854107236,0.14735701501810883,7.398609980718227,3.9165518789298597,526.9104813892341,677.5635999865596,10.660734079419647,459.1213100619644,5059.56277338902,371.65642745572904,600.5776763539253,791.0863676667468,1.8753422312112107,445.31774037337965,0.002774582040137908,
