VarNames,KO02,KO03,KO04,KO05,KO07,KO08,KO10,KO11,KO12,KO13,KO14,KO15,KO16,KO17,KO18,KO19,KO20,KO21,KO22,KO23,KO24,RF03
C_pyr,0.135,0.258,,,0.153,0.113,,,,,,,,0.27,0.478,0.223,0.191,0.254,0.13,0.259,0.266,
C_amp,0.612,0.709,0.418,0.512,0.716,0.762,0.543,0.652,0.367,0.334,0.741,0.392,0.401,0.641,0.22,0.518,0.784,0.393,0.521,0.67,0.674,0.704
C_adp,0.328,0.374,0.237,0.319,0.674,0.704,0.553,0.666,0.308,0.376,0.719,0.321,0.246,0.624,0.273,1.21,0.922,0.582,0.369,0.537,0.513,0.89
C_gdp,0.144,0.139,0.184,0.136,0.25,0.237,0.204,0.2,0.127,0.119,0.2,0.16,0.0941,0.214,0.155,0.353,0.274,0.212,0.144,0.195,0.194,0.34
C_atp,0.602,0.392,0.2,0.224,1.92,1.68,1.82,1.55,0.484,0.807,1.63,0.374,0.292,1.73,0.781,2.48,1.76,2.36,1.25,1.4,1.67,1.95
C_gtp,0.292,0.158,0.0962,0.0892,0.814,0.647,0.744,0.61,0.24,0.317,0.537,0.165,0.131,0.736,0.483,1.2,1.1,0.822,0.495,0.596,0.676,0.892
C_nad,0.518,0.512,0.684,0.366,0.824,0.928,0.791,0.612,0.359,0.484,0.606,1.01,0.303,0.985,0.673,0.788,0.87,0.74,0.557,0.598,0.624,0.763
C_nadh,,,,,,,,,,,,,,,,0.102,0.0245,0.224,0.121,0.166,0.15,
C_glc,0.00599,0.00743,0.00896,0.127,0.0104,0.00724,0.0879,0.00465,0.00494,0.0122,0.0112,0.00197,0.0,0.00959,0.00695,0.0151,0.00345,0.0093,0.00901,0.0057,0.00853,0.00407
