VarNames,KO02,KO03,KO04,KO05,KO06,KO07,KO08,KO10,KO11,KO12,KO13,KO14,KO15,KO16,KO17,KO18,KO19,KO20,KO21,KO22,KO23,KO24,GR01,GR02,GR03,GR04
v_pts,3.14,3.06,2.73,2.72,2.84,2.7,2.76,2.7,3.33,2.82,2.8,3.0,3.18,3.36,2.92,3.63,3.18,4.15,4.49,2.97,2.8,2.94,1.34,5.05,6.63,13.34
v_pgi,2.7318000000000002,2.3868,0.0,2.2848,1.4768,2.295,2.0147999999999997,2.241,2.9304,2.0867999999999998,1.3159999999999998,2.04,3.1482,2.6208,2.8908,3.3396,2.1306000000000003,2.1165000000000003,3.5022,2.5542000000000002,2.38,2.5284,0.8308000000000001,3.1814999999999998,5.5028999999999995,7.470400000000001
v_pfkB,2.7946,2.6316,0.9282,2.3664,2.1868,2.349,2.2907999999999995,2.322,2.9970000000000003,2.3688,2.0999999999999996,2.46,2.9574000000000003,2.8895999999999997,2.7156000000000002,3.3396,2.1942,3.2785000000000006,3.5471000000000004,2.6136000000000004,2.436,2.5872,1.072,3.9895,5.7681,10.672
v_fbaA,2.7946,2.6316,0.9282,2.3664,2.1868,2.349,2.2907999999999995,2.322,2.9970000000000003,2.3688,2.0999999999999996,2.46,2.9574000000000003,2.8895999999999997,2.7156000000000002,3.3396,2.1942,3.2785000000000006,3.5471000000000004,2.6136000000000004,2.436,2.5872,1.072,3.9895,5.7681,10.672
v_tpiA,2.7946,2.6316,0.9282,2.3664,2.1868,2.349,2.2907999999999995,2.322,2.9970000000000003,2.3688,2.0999999999999996,2.46,2.9574000000000003,2.8895999999999997,2.7156000000000002,3.3396,2.1942,3.2785000000000006,3.5471000000000004,2.6136000000000004,2.436,2.5872,1.072,3.9895,5.7681,10.672
v_gapA,5.5578,5.2938,3.276,4.7056000000000004,4.629199999999999,4.671,4.6644,4.644,5.9274000000000004,4.794,4.508,5.1,5.755800000000001,5.812799999999999,5.3144,6.5703,4.9926,7.0135000000000005,7.6779,5.197500000000001,4.872,5.145,2.2378,8.3325,11.469899999999999,22.678
v_pgk,5.5578,5.2938,3.276,4.7056000000000004,4.629199999999999,4.671,4.6644,4.644,5.9274000000000004,4.794,4.508,5.1,5.755800000000001,5.812799999999999,5.3144,6.5703,4.9926,7.0135000000000005,7.6779,5.197500000000001,4.872,5.145,2.2378,8.3325,11.469899999999999,22.678
v_gpmA,5.2438,5.0184,2.9757000000000002,4.4064000000000005,4.3452,4.3740000000000006,4.3884,4.347,5.6277,4.512,4.199999999999999,4.800000000000001,5.4378,5.4432,5.0516,6.2799,4.7064,6.723000000000001,7.3636,4.9005,4.563999999999999,4.851,2.1038,7.7265,10.7406,21.6108
v_eno,5.2438,5.0184,2.9757000000000002,4.4064000000000005,4.3452,4.3740000000000006,4.3884,4.347,5.6277,4.512,4.199999999999999,4.800000000000001,5.4378,5.4432,5.0516,6.2799,4.7064,6.723000000000001,7.3636,4.9005,4.563999999999999,4.851,2.1038,7.7265,10.7406,21.6108
