VarNames,KO02,KO03,KO04,KO05,KO07,KO08,KO10,KO11,KO12,KO13,KO14,KO15,KO16,KO17,KO18,KO19,KO20,KO21,KO22,KO23,KO24,RF03
Pgi,0.68,0.465,0.0166,0.308,0.225,0.316,0.47,0.438,0.132,0.157,0.126,0.442,0.21,0.435,0.496,0.19,0.237,0.323,0.454,0.512,0.422,0.223
PfkB,0.037,0.128,0.199,2.17,0.134,0.178,0.0189,0.029,0.0357,0.0395,0.0291,0.0256,0.0601,0.106,0.138,0.0573,0.0706,0.101,0.0886,0.0692,0.072,0.0412
FbaA,1.25,2.33,1.76,1.84,0.902,1.27,0.764,0.9,1.79,1.89,1.66,0.874,1.06,1.17,1.25,0.99,0.941,1.27,1.3,1.39,1.21,1.39
TpiA,0.423,1.16,0.873,0.761,0.427,0.738,1.02,1.19,0.436,0.47,0.373,0.791,0.643,0.434,0.408,0.335,0.379,0.499,0.381,0.43,0.416,0.402
GapA,4.59,8.38,5.26,5.72,3.2,4.35,4.91,4.42,3.23,3.37,2.87,5.06,3.57,3.35,4.99,2.99,3.48,4.0,3.28,4.15,3.49,2.97
Pgk,0.991,1.08,1.41,0.978,0.684,1.03,0.304,0.251,0.45,0.517,0.461,0.335,0.634,0.416,0.745,0.347,0.352,0.428,0.494,0.542,0.478,0.531
GpmA,1.02,0.79,0.736,0.641,1.82,1.85,0.028,1.48,0.522,0.58,0.591,1.57,1.45,1.27,1.46,1.48,1.8,1.72,1.45,1.5,1.08,0.968
Eno,3.31,4.89,4.18,4.86,2.45,4.35,1.7,1.6,1.25,1.33,1.2,1.69,2.36,2.08,3.82,1.58,1.71,2.11,2.1,2.13,1.9,1.24
