% # columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst objective function value, interquartile range, 25%tile, current best feasible f-value, elapsed wallclock time [s], further/more values", seed=831807, Sun May 24 23:20:31 2026, <python>{}</python>
1 16 236.96073125857671 1.000049231981085 44055.77127618602 4.4055771276186017e+04 166125.27664542187 344282.8791833938 89121.16039759156 139841.4240576534 nan 356.3   
2 32 227.77847121510158 1.0297178617685365 44055.77127618602 8.8924729302353080e+04 186932.3922817086 291585.2363521694 89298.6330486325 134521.23120962133 nan 797.8   
3 48 220.5756550541474 1.0394921761152198 44055.77127618602 5.4989323580761549e+04 184310.67542997233 262417.3763743807 116453.80030933303 116372.54825203128 nan 943.1   
4 64 216.0647558060947 1.0450096478854407 40147.74552047302 4.0147745520473021e+04 176181.1221728778 336351.80976992584 132520.59399254544 77356.93980175043 nan 1229.4   
5 80 212.16007030683423 1.050715333399907 37672.63882727841 3.7672638827278410e+04 164419.7992470074 255514.732950018 65872.09135610364 130384.47408448475 nan 1414.4   
6 96 209.54809835931087 1.0549293186709778 37672.63882727841 5.1024219769667099e+04 167091.47100949017 287711.47967900056 105901.13425163031 125406.95038750328 nan 1577.6   
7 112 208.79216400591142 1.0623484038562305 37672.63882727841 4.7448796701565378e+04 191242.6247614688 286294.4824824719 101970.47401027358 136175.78993791662 nan 1736.0   
8 128 208.72931615404175 1.072991293339889 37672.63882727841 5.0372821488897236e+04 137312.91759994466 245100.28190948482 137352.85699384293 69115.42456946248 nan 1806.3   
9 144 208.64741658331695 1.0853529427118207 37672.63882727841 4.1245902666873626e+04 120873.14425334505 261592.21704697798 73742.80893324077 89352.46353409422 nan 1918.7   
10 160 208.33012526102752 1.0939483595598132 37672.63882727841 5.8822706946738952e+04 133536.87896232802 327512.3520362456 80532.09503896695 90950.61223204876 nan 2129.4   
11 176 208.96735408394107 1.1023237964252253 37672.63882727841 6.4943442889529368e+04 143926.89574812952 221320.8605487294 86272.18407662469 74908.26862437808 nan 2298.0   
12 192 209.18910467010875 1.1161026344690388 37672.63882727841 4.4619717541655446e+04 118224.63755839426 253330.84500953625 76985.9336802624 91507.6772839444 nan 2456.2   
13 208 210.20785571711124 1.1269739528958336 33338.00949783406 3.3338009497834057e+04 104918.06387659871 213821.426072796 64056.3409979094 69885.99300299911 nan 2698.3   
14 224 212.07739060607 1.1371161331034447 30816.037292368994 3.0816037292368994e+04 107267.50524690558 177807.59592528938 64168.20611156958 54064.57729623043 nan 3109.3   
