% # columns="iteration, evaluation, sigma, void, void,  stds==sigma*sigma_vec.scaling*sqrt(diag(C))", seed=831807, Sun May 24 23:20:31 2026, <python>{}</python>
1 16 236.96073125857671 0 0 236.91279583420805 236.87478733040496 236.88165884432632 236.92557597435245 237.17575520354117 236.7829594209529 237.1744809033387 236.8282708009159 236.87366229708485 236.89433956496512 236.97789995357985 236.97233848337214 236.69850132516487 236.87607694316446 236.75300403544114 236.98918007228593 237.03729483208437 236.8924836407401 236.82830811644772 236.66872025872618 236.8200994861277 236.84419784234498 236.3642665190112 236.9849500880776 236.58524152770218 236.75006530934627 236.57316017780064 236.77221596027488 236.83820120032905 237.0695072747238 236.9221353128204 237.10733900926977 237.05200263918798 237.0556440994665 236.9543200752136 237.33994409389777 236.62718864529228 236.96073834590308 236.72010396955395 236.9243423087033 236.85517279969355 237.14098044411412 237.11784772656338 236.90296318768807 236.7001254255288 236.87011282298886 237.0483542307579 236.89301906223528 236.75950242340102 237.07900533467864 237.255903946338 237.15828806374074 236.94493626259057 236.99139355954185 236.87748625742148 236.9618292633388 237.0514680453352 236.89008237284392 236.66735743631529 236.97107013964526 237.09397030650763 237.13618266773753 237.03719900167303 237.0029910879444 237.05506414574754
2 32 227.77847121510158 0 0 227.49886371032485 227.5850180207148 227.5412874621535 227.75787933102606 227.8196741251964 227.52953920447413 227.869394533533 227.87367436777222 227.7307246143693 227.80161572452047 227.84050683631511 227.2916775259846 227.51134936981825 227.63146110682956 227.4596463970721 227.69244189958198 227.8625957529272 227.70328183680704 227.4941091661786 227.48011130323107 227.66992195466474 227.56873287738546 227.17229639016392 227.6985642888938 227.13606091936728 227.7299726890288 227.19148998667353 227.65490560685285 227.52414070540857 227.80039026702474 227.88329777172626 227.99606327749902 227.90393014602182 227.77691577009944 227.90805347409162 227.9395632464566 226.9517491267696 227.71474667899435 227.503055730316 227.80795480816207 227.46830922021772 228.37331120111241 228.11859298868498 227.6352967324232 227.32875797249997 227.4569292970703 227.91755281121678 227.52717406018354 227.40569389826237 227.84564789425232 228.0201132690299 228.26570615846154 227.83135148516573 227.66039135248968 227.8230621880975 227.98867158472103 227.91565134905645 227.54889310083615 227.22182871305492 227.6754859118404 228.01085432892435 227.8230301757305 227.92466596564643 227.9769369364358 227.76639841947923
3 48 220.5756550541474 0 0 220.19014694491656 220.32074709558066 220.40869290775132 220.628544297485 220.48782261418563 220.42717820360508 220.69851713070267 220.59347396368267 220.63122852792822 220.4213981346004 220.60176474363783 220.2240080981849 220.35168117595435 220.3090482430806 220.16946324909213 220.48731468375365 220.45642551518623 220.5060003725857 220.38692877746516 220.24800032567626 220.36011653215246 220.49690908271822 219.75230246402583 220.88267554208767 219.96057955287523 220.38739344074216 219.8958482563074 220.37719798405138 220.34432826613363 220.76196043923954 220.7325523513159 220.91645290960747 220.5907765030267 220.5342338879268 220.66747331825067 220.56465040010934 219.75882075455462 220.5625401304581 220.2837597790636 220.5322001273707 220.16737042893314 220.97446203036057 220.77572914085604 220.58877689435965 219.9297885108603 219.95897790493294 220.70728635761824 220.2827506398305 220.0349174455898 220.6532387370036 220.815186982342 221.02188353001026 220.7430865494436 220.25160345885098 220.67619397721904 221.01081295086595 220.57690823793652 220.0652018504213 219.5913795994662 220.26737394867894 220.73707572339484 220.66442494639603 220.3425004454197 220.66769632974837 220.25384090784567
4 64 216.0647558060947 0 0 215.4543800868178 215.89528059908824 215.67112206908396 215.87447579381882 215.92079695398536 215.72361236197304 215.94968393047716 216.25722765737098 216.29237367724502 215.7014455167013 215.92624304881556 215.75876229533944 215.91638673726203 216.1049070548687 215.73088348972612 216.61718212823502 215.8921753288097 215.67365048824658 215.85577955523217 215.85931157847844 215.86447797298877 216.03904854010054 215.26129488938983 216.25799456222833 215.34635601923736 215.65005673643972 215.29710336790922 215.7370721338863 216.00182695001763 216.1802243229997 216.22531709064165 216.51871372513818 216.09732635383043 216.1961917110302 216.2534015502101 215.81064862792093 215.04689432612554 215.89916399389378 215.73211414879015 216.0064010587465 215.4673698768099 216.46966981241738 216.1492688726764 216.07507955187347 215.30838395267813 215.19266230813395 216.24057818278433 215.84059426464654 215.33388382794095 216.0364468079117 216.30889292292827 216.9266282759236 216.32450127641462 215.7302959034887 216.10494062941387 216.41049615408605 215.82611383811295 215.40190286023582 214.9088202982017 215.77352980552314 215.99599679522817 216.2616414260673 215.86231649690527 216.29485871887476 215.65746832994432
5 80 212.16007030683423 0 0 211.84461150016548 211.91221899795897 211.74255225476122 211.87868716277148 212.02693082888646 211.76495984866006 211.79648138974892 212.41045489170924 212.4621941803304 211.81060760517502 212.00860584812415 211.8758815391549 211.8915198117571 212.0089350897161 211.76922002288612 212.6168019458499 212.15146693622205 212.27676216751007 211.80226194080882 211.8853514872549 211.8569954947369 212.20757424749794 211.24415285866223 212.50431316114742 211.38658160800958 211.70042066662822 211.4261523487938 211.83292808316955 212.1415629160018 212.40907952736637 212.18907018959248 212.62238227631 212.1134891685623 212.29007346293488 212.20613272899462 211.98829043402432 211.07524307488316 212.0182226096547 212.01086030373818 212.09598657452838 211.28302665712462 212.77289023270663 212.4025120314784 212.09770871671756 211.22289057920082 211.2184495268191 212.0755604410625 212.04757397981874 211.43192422590639 212.1592956939181 212.26603532232576 213.0014691421766 212.2698479933733 211.65684768835106 212.29044842567134 212.85995476053498 211.86853447352436 211.46932437847482 210.91782763622473 211.6249218475009 212.06875094917848 212.4060057794443 211.97886280775074 211.9742214515861 211.79356440048946
6 96 209.54809835931087 0 0 209.16839437379872 209.2599888439662 209.21331300942816 208.96713432197294 209.4333176793003 209.0140202173057 209.15838771748238 209.6634278883089 209.79828210657976 209.02931957155607 209.03952853668065 208.60360284685106 209.19145244347035 209.01469938077682 209.19547159712943 210.01299110912652 209.46657923818913 209.7251105130097 209.05084332818458 209.50966532905198 209.33332365199266 209.53370635774795 208.3226160217928 210.03891999440785 208.60345702448237 209.04096169118714 208.6614707515089 209.00532204528125 209.5931731982862 209.76234298718032 209.67138313398723 209.93221736936096 209.4639512852454 209.67284307865697 209.60629324156275 209.3529649864254 209.02517219114188 209.3954824710889 209.42105894401257 209.47857025724755 208.73033657114485 210.22551072677354 209.85432001957065 209.4854650495363 208.58849103336095 208.68588080290098 209.57138350692486 209.54777930181658 208.57240133909713 209.46106097583436 209.81470886023808 210.46212494014608 209.71459479969434 208.91315254636828 209.58266188732736 210.3803356685217 209.35464907916574 208.83254684270474 208.43791590031137 208.83593183641682 209.31677847553127 209.95402395576244 209.43132257641136 209.34206174184857 208.91251250587425
7 112 208.79216400591142 0 0 208.24561940977446 208.39540406483601 208.16806164059665 208.75850419503465 208.66299924348004 208.4560576987408 208.27526474702557 208.48731884986825 208.9289434854429 208.22439029921685 208.37412600279623 207.9284918948812 208.47300653172073 208.23786817547588 208.25450097488618 209.35878551674068 209.09175743518418 208.95382930657698 208.30567644893637 208.7294580023802 208.53227971475624 209.09706536612643 207.48477506834107 209.30026770168263 207.89361276392682 208.22480361979183 207.99266767875238 208.0496313198653 208.9708846949004 209.07624492597208 208.978295012597 209.2293839785232 208.6955609287641 209.02405829007128 208.76618471196323 208.41911645811635 208.35121458315172 208.75866898325347 208.7180424373181 208.8535219283998 207.6634510307303 209.59884927551903 209.25589863137802 208.62571700616166 207.54979108875915 208.20324533226264 208.83481239314955 209.00507769454072 208.2367064782821 208.43299426680377 209.0722853009611 209.6487534040394 209.05301916441735 208.2591311428945 208.91397166177583 209.51401565207394 208.37343918836677 207.92762204257764 207.56101540036545 208.10315006409758 208.75445070133094 209.17857723816633 208.5540370183195 208.08407396072312 208.11898431974043
8 128 208.72931615404175 0 0 207.94399357166304 208.42214926105493 208.3212201930223 208.69454293404948 208.16276448439766 208.3932607007749 208.28280170030735 208.48623836328989 208.7548335444191 208.28509825087238 208.4977619342853 207.70042637998853 208.43664259880572 208.0522653598952 208.1535612883536 209.16632755506313 208.97887861331407 209.07804922116966 208.16965313502993 208.88470767229148 208.5564783313096 208.99505326164746 207.4228106687989 209.15517918452883 208.04348284014702 208.0144794128182 207.9105084842708 208.04759452258273 208.7046386365626 208.99202424748387 208.8791391928124 209.12722952910684 208.40454640784 208.90084377485164 208.70590072948517 208.4480244617035 208.1234850692703 208.60371770457152 208.72595372057685 208.934298183153 207.54963733898947 209.39804642573472 209.20046625681138 208.78429286658846 207.50563842831937 207.99428878125426 208.79213640403628 209.00001211881911 208.14174004956115 208.26279348898615 208.74043174406154 209.59120541789778 209.13297131581874 208.08938702373936 208.76468511797233 209.2920690150397 208.1774630629002 208.03986322785636 207.12806544338764 208.25361386711907 208.82327651883094 209.0806231236631 208.3582300251489 207.97543933253337 207.735257581834
9 144 208.64741658331695 0 0 207.70586860951678 208.36990443432381 208.1504171903339 208.5356340061752 208.09801298455093 208.40700119736567 208.15164334573421 208.4659725009478 208.58258559513544 208.08513892004362 208.35288460183372 207.42492601781316 208.28288689112497 208.08995141626852 207.96190551413213 208.6898875332866 208.89134290673522 208.98717748435854 208.04925355479168 208.7592704797635 208.27042177664808 209.15001948885438 207.01314176856056 209.21142278716647 208.06810179813326 207.79442417666365 207.608603331825 207.87931574992274 208.4536629105573 208.87372248557404 208.74500535334283 209.1246968036566 208.08135911612985 208.58103467561241 208.70704339340563 208.33306060196693 208.06265517429327 208.52703918177616 208.98166428677314 208.69947670545682 207.4747995187448 209.09170108364654 209.31728750838374 208.65865932858475 207.3903060272748 207.87544877995475 209.2409298704122 208.99054514353043 208.15041476107217 208.2142879928967 208.45182180309735 209.4857849813334 208.98511903067308 207.91794017742018 208.56437087065282 209.1127168576425 208.06875477729696 208.120367324351 207.03158747264428 208.10803657356163 208.92257487929896 209.03289162004847 208.42969109342906 208.07655798253575 207.3855016946712
10 160 208.33012526102752 0 0 207.61343378091817 208.09152674246985 207.83969462504314 208.24569613707453 207.85152053813175 208.10066002610358 207.92211500097943 208.29935317619862 208.30063544697413 207.7832910451588 208.0493290471532 207.11582276911298 208.0719241821251 207.45568297737975 207.5983821803398 208.28013770626436 208.50199943923488 208.52735094606854 207.58713096330476 208.66066420222816 207.74635608569506 208.88254100514644 206.69908695401986 208.98881280261548 207.71104394385213 207.46060649634532 207.24202933302718 207.37676875529738 207.80721032077813 208.45531221737548 208.43560841068356 208.64947474943804 207.79290639064774 208.2301211842836 208.28869405675945 208.08172120343127 207.75198747038928 208.42574716147683 208.74334001114332 208.37946392239755 207.13531750761885 208.75594215622334 208.85953423387085 208.36110729854045 206.85354532243738 207.34069205147048 208.97616593886443 208.97524646411335 207.77182913249422 207.87168227841875 208.03067731989668 209.21155682340535 208.75627955228939 207.53517831323043 208.27160388085548 208.59728544179427 207.69173526860718 207.87545314177152 206.69508317211682 207.88350814511497 208.46685435812464 208.74299230295173 208.13370051992862 207.72470052286755 207.001190629128
