param,value
v_max_1,80.28524201123827
Ka2_1,0.029715451517851654
Ka3_1,6.467002597238968
K_g6p_1,11.24250508132913
Ks_g6p_pgi,6.177563226944908
kcat_f_2,504.70448059948575
Ks_f6p_3,0.6624396521904556
Ks_atp_3,2.0123188588691208
kcat_f_3,753.105419453788
Ks_fbp_4,0.0031357653791114705
kcat_f_4,3.6708392183435388
kcat_f_5,2052.455390257924
kcat_f_6,368.0700672820438
kcat_f_7,983.8539930093744
kcat_f_8,694.4787140629461
Ks_3pg_8,2.6239503455697104
kcat_f_9,236.8724461890369
Ks_2pg_9,0.23303582393305938
