,v_max_1,Ka2_1,Ka3_1,K_g6p_1,Ks_g6p_pgi,kcat_f_2,Ks_f6p_3,Ks_atp_3,kcat_f_3,Ks_fbp_4,kcat_f_4,kcat_f_5,kcat_f_6,kcat_f_7,kcat_f_8,Ks_3pg_8,kcat_f_9,Ks_2pg_9
v_max_1,21.515191559330248,-923.4138422114377,-252.10053927869683,0.11775074003703104,-0.2724243331082389,0.0035068454727272165,-5.7299089664807115,-1.8862412813503362,0.005327460374682274,-2147.22798990547,85.0459219037175,0.0028199878892247116,0.027389117426093127,0.016460211850760933,0.1934061853947387,-48.54218425789167,0.4799214089357213,-441.22037142206904
Ka2_1,-923.4138422114374,40555.760539536655,10806.02229478253,-5.18393938459,12.092804078078682,-0.15565700858696357,253.4917251802333,83.4474961666541,-0.23588640436444908,98266.54809450136,-3927.5408724086374,-0.12082720672058692,-1.1804566947301447,-0.7081419147612628,-8.159660847396585,2045.392990854886,-20.315031703036237,18630.503446751332
Ka3_1,-252.10053927869677,10806.022294782528,2954.1543036493417,-1.3777085242346225,3.1870380941026624,-0.041025685943713884,67.02376318916926,22.063699388318305,-0.062312918992550044,25062.95643934004,-992.1147470819733,-0.03304586258767649,-0.3208526001077638,-0.1928436547231262,-2.268326161262258,569.3560684891168,-5.627638395741074,5174.52175425701
K_g6p_1,0.11775074003703102,-5.18393938459,-1.3777085242346225,0.001135877700064453,-0.002491105384302169,3.244716476015152e-05,-0.06038489773535979,-0.019878236730261237,5.838436914263431e-05,-48.080292149154616,2.0530398131587084,1.4501218282765116e-05,0.00015156063352630246,9.45346603731083e-05,0.0010960130778591855,-0.2746667359279206,0.002714233928934174,-2.4883809776137085
Ks_g6p_pgi,-0.2724243331082389,12.092804078078682,3.1870380941026624,-0.002491105384302169,4.983038604801215,-0.06490898387983596,82.29615657663692,27.091252014541855,-0.07905634181516591,98.99522433658002,-4.159628728037887,-3.4030643046440814e-05,-0.0003566549482638865,-0.00021779310432433227,-0.0026521094170597064,0.6642908917191496,-0.00627387949087052,5.757314747853348
kcat_f_2,0.0035068454727272165,-0.15565700858696355,-0.041025685943713884,3.244716476015152e-05,-0.06490898387983596,0.000845787740176289,-1.0765101974133007,-0.3543787494764647,0.0010348204910570692,-1.2988893762912648,0.05459851501989298,4.373600894385423e-07,4.592279498249593e-06,2.805911455379775e-06,3.4194915292706954e-05,-0.008564034529899093,8.086132414857617e-05,-0.07420098338497248
Ks_f6p_3,-5.7299089664807115,253.4917251802333,67.02376318916924,-0.06038489773535979,82.29615657663692,-1.076510197413301,5083.4287812379425,1673.4250533589175,-4.95742167786392,2908.132442246241,-124.13431195737753,-0.0006828718073061306,-0.0073180499097178645,-0.004609103214108519,-0.056011131967081185,13.939577264220159,-0.13207022705857227,121.0313199454378
Ks_atp_3,-1.8862412813503362,83.4474961666541,22.063699388318305,-0.019878236730261234,27.091252014541855,-0.3543787494764648,1673.4250533589175,550.8784581668399,-1.631944499039845,957.3344875612776,-40.864046011156546,-0.0002247960657570906,-0.002409044876531445,-0.0015172807811283176,-0.018438427198322064,4.588799967705825,-0.04347648728321666,39.842565275102295
kcat_f_3,0.005327460374682274,-0.23588640436444908,-0.06231291899255005,5.838436914263432e-05,-0.07905634181516591,0.0010348204910570692,-4.95742167786392,-1.631944499039845,0.0048484771309071535,-2.859745378828162,0.122225401051994,6.29314575786377e-07,6.7971372112356455e-06,4.307460262935248e-06,5.246191552489469e-05,-0.013044660760077135,0.00012319257460278153,-0.11288402146648457
Ks_fbp_4,-2147.22798990547,98266.54809450136,25062.95643934004,-48.080292149154616,98.99522433658004,-1.2988893762912648,2908.132442246241,957.3344875612776,-2.859745378828162,8692930.776173787,-388093.760965372,-0.14320040752118054,-3.0414524378035406,-2.0865182521692924,-19.526100318961227,4884.563020274498,-52.77862559993451,48210.15871954327
