kind,name,v_max_1,Ka1_1,Ka2_1,Ka3_1,K_g6p_1,Ks_g6p_pgi,Kp_f6p_pgi,kcat_f_2,Ks_f6p_3,Ks_atp_3,Kp_fbp_3,Kp_adp_3,kcat_f_3,Ks_fbp_4,Kp_g3p_4,Kp_dhap_4,kcat_f_4,kcat_f_5,Ks_dhap_5,Kp_g3p_5,kcat_f_6,Ks_g3p_6,Ks_pi_6,Ks_nad_6,Kp_pgp_6,Kp_nadh_6,kcat_f_7,Ks_pgp_7,Ks_adp_7,Ks_3pg_7,Ks_atp_7,kcat_f_8,Ks_3pg_8,Ks_2pg_8,kcat_f_9,Ks_2pg_9,Ks_pep_9
concentration,C_g6p,2825394.6230875365,-54204037.12010955,-62480052.89653196,-8312416.413625088,100168638.1473857,-167714472.58175537,696784012.8858361,63358398.07363345,-4627461139.073756,-3007849740.3979435,415988542.07545584,293607092.7897074,42065210.90731272,-195624654.0181728,472162630.4412403,39353440.4904806,99343621.90885189,110.56230106891668,-97231.92623632807,91795.91495499252,792891.572620322,-172470.12393069465,-289619.6420722953,-3411075.784407591,4769.699428118718,4593.814098232913,20573927.986361805,-550767790.717737,-596877152.6101918,381289997.0906377,396303874.70718974,296351.60023376066,-38336352.93688923,4167877.4597437913,4167557.635904887,-194757603.05967098,23327813.61976193
concentration,C_f6p,239464.76866953206,-4594033.379923943,-5295462.549220176,-704514.2852994939,8489737.881532956,-14214548.03401116,59055546.41784814,5369906.2395264935,-392197925.9607351,-254928651.8744781,35256880.289670065,24884507.80648443,3565213.834783539,-16580060.05169198,40017884.28033906,3335379.2232764363,8419814.08359877,9.370647070923855,-8240.838477292556,7780.112328338737,67201.08952782702,-14617.610578000193,-24546.553612113305,-289103.8536538254,404.25325398598676,389.3461895039843,1743731.9607035625,-46680021.444482565,-50587995.07367082,32316024.17701884,33588517.1239869,25117.117026744047,-3249176.5265815295,353246.163769449,353219.05727573263,-16506573.624165818,1977136.0242477455
concentration,C_fbp,2951277.6861677486,-56619052.05934535,-65263798.70526228,-8682769.082662826,104631566.933166,-175186849.67654034,727828637.8233914,66181278.14617403,-4833633773.3749895,-3141861952.6937456,434522561.2668074,306688509.5646298,43939390.95649053,-204340544.69786257,493199436.3112117,41106799.68186781,103769792.79527579,115.48831069816364,-101564.01231159735,95885.8041543134,828218.1847106573,-180154.38414440386,-302523.399789656,-3563053.3753009737,4982.209344106092,4798.487592399431,21490581.912631646,-575306782.8906976,-623470508.3273687,398278049.7907463,413960858.0011485,309555.29464207694,-40044396.6542465,4353573.707938026,4353239.634619011,-203434863.01867807,24367164.58667602
concentration,C_dhap,2029612.3370407857,-38937280.32092408,-44882327.28325445,-5971195.232642413,71955790.56717473,-120477104.90181446,500532359.08685756,45513283.69951556,-3324120527.579956,-2160678342.926972,298823914.5381273,210911628.3968826,30217397.1582973,-140526286.13812554,339176374.48167413,28269406.362100136,71363143.4055557,79.42204153608836,-69846.21348792264,65941.27383305997,569570.8856298828,-123893.3097841625,-208047.25605264795,-2450334.3490649206,3426.296887585676,3299.950276558782,14779209.148801045,-395642114.46819323,-428764613.1752015,273898334.6827964,284683501.11171645,212883.13463233516,-27538784.933636334,2993980.1833154853,2993750.4389803708,-139903442.39787772,16757453.253421158
concentration,C_g3p,229167.03713057732,-4396475.623556287,-5067741.151999904,-674217.9748414641,8124652.687473492,-13603278.1573813,56515973.82737442,5138983.531558911,-375332194.4628692,-243965926.40086484,33740724.70327489,23814396.51996342,3411898.5434733047,-15867065.865490325,38296990.70413877,3191947.53560103,8057735.872073111,8.96768008155919,-7886.456773883923,7445.543283304731,64311.233191432846,-13989.0077555075,-23490.975287550093,-276671.4867200791,386.86910388146174,372.60308964214215,1668746.0506384356,-44672635.00622409,-48412553.58698798,30926334.39830849,32144106.181800593,24037.002696728116,-3109451.8072447027,338055.4775492011,338029.5367192131,-15796739.502202656,1892113.0118571543
concentration,C_pgp,98510.77534436579,-1889888.824684492,-2178442.0498643015,-289822.37709386006,3492499.818770445,-5847566.453220563,24294211.204136997,2209066.6202022033,-161341988.58264238,-104872292.5787177,14503939.97678873,10236963.80995253,1466654.0839481952,-6820688.439406549,16462517.013173455,1372104.952473724,3463734.65493534,3.854887373576593,-3390.1078499019163,3200.5747898222594,27645.116665979735,-6013.377947381917,-10097.93655315072,-118931.25273712777,166.30129730883084,160.16884410535175,717334.6976929022,-19203180.20532553,-20810838.460757427,13294133.476973766,13817610.34383202,10332.654304292924,-1336642.9669074982,145318.05105900296,145306.90001692018,-6790457.631951133,813352.2262671955
concentration,C_3pg,891480.9981573378,-17102697.343986396,-19713982.417173263,-2622770.363107731,31605651.39821388,-52918011.86504982,219852372.2709475,19991121.871588655,-1460076996.8923995,-949050047.9800599,131254543.90671614,92640207.97212172,13272601.31837395,-61724355.70450629,148978840.61700687,12416971.527550377,31345338.788976602,34.88510603603455,-30679.04723444474,28963.85292201571,250176.65441583729,-54418.536003695845,-91382.06989299765,-1076277.712073259,1504.9566506961373,1449.460533810649,6491576.716864747,-173780688.3057214,-188329318.02236897,120306305.58869328,125043550.63154915,93506.16661583842,-12096055.50411326,1315067.1158103738,1314966.2035792784,-61450779.63822077,7360494.849334678
concentration,C_2pg,156704.64114183083,-3006314.274097095,-3465326.2902349243,-461030.90183385904,5555645.348188111,-9301934.73152215,38645677.44249171,3514041.8981280546,-256652516.7786968,-166824135.9061527,23071940.112745445,16284307.321841268,2333059.516594767,-10849914.950939067,26187519.20104725,2182656.805153461,5509887.565240928,6.132108293806497,-5392.766752610522,5091.269682259894,43976.08354337409,-9565.697051927411,-16063.151653236426,-189188.23058259307,264.5414679267538,254.7863535729075,1141090.1656497435,-30547191.083844256,-33104551.03157728,21147457.414508253,21980170.93950323,16436.525724473853,-2126246.157377437,231162.66296350965,231144.9234155841,-10801825.715856222,1293828.7034444646
concentration,C_pep,627732.3305623309,-12042787.322257629,-13881511.948068341,-1846811.9409908645,22254977.113533307,-37261979.76786273,154808057.95138425,14076658.446951142,-1028106642.7149519,-668269317.7647187,92422296.05988432,65232185.28978167,9345842.452535465,-43462927.127931535,104902779.77689718,8743354.588181188,22071679.16191231,24.564190329549927,-21602.512964063106,20394.76661239237,176160.764675125,-38318.56708331221,-64346.273026693394,-757856.1045367346,1059.7084488502285,1020.631108041289,4571014.513965535,-122366889.14554238,-132611241.24883617,84713143.34756668,88048853.11293839,65841.9465064424,-8517383.05894662,925998.5926628897,925927.5357694022,-43270289.994259864,5182859.330785037
flux,v_pts,-7.313187032759183e-07,1.4055059713191653e-05,1.6342475379960142e-05,2.1663272589261817e-06,-2.611450113754188e-05,4.3664500752109985e-05,-0.00018146953685132714,-1.6501017069511078e-05,0.0012030665977914915,0.0007875985098415253,-0.00010856290842475467,-7.646039471036767e-05,-1.100016359684257e-05,5.0592329387838205e-05,-0.00012297959300420816,-1.0183290773545535e-05,-2.5865288995324982e-05,-2.8739482721820098e-11,2.53961035775155e-08,-2.382809542062856e-08,-2.0526791391478898e-07,4.502605187473398e-08,7.53455894919151e-08,8.906227013335034e-07,-1.2370564152580424e-09,-1.1972214424539962e-09,-5.3458265141057605e-06,0.00014366502563953513,0.00015554505528078805,-9.908115702708195e-05,-0.00010298854472803493,-7.684689808615424e-08,1.0037982494003242e-05,-1.0828247200043558e-06,-1.0873714037772657e-06,5.080122544699472e-05,-6.038123222021037e-06
flux,v_pgi,-2.979132889761233e-07,5.736860690052998e-06,6.485719727797107e-06,8.680816692786442e-07,-1.0574887757247491e-05,1.7553192376340565e-05,-7.311574230395301e-05,-6.648441765289004e-06,0.00048450072615342587,0.000315618387162449,-4.347718929298668e-05,-3.05649005144535e-05,-4.415885147001163e-06,2.060992197172965e-05,-4.9519300648898096e-05,-4.1372676999411205e-06,-1.0488756009585457e-05,-1.1536073396020411e-11,1.0178758640183842e-08,-9.681923129614784e-09,-8.306685424602031e-08,1.802146902668316e-08,3.057585617375065e-08,3.552679233816278e-07,-5.011359946998233e-10,-4.817148902476296e-10,-2.152317027834998e-06,5.769790226518342e-05,6.240927815899014e-05,-3.9697087085054835e-05,-4.142315359997999e-05,-3.1039084977809055e-08,3.991531068589983e-06,-4.3218294796360955e-07,-4.346190700446005e-07,2.0528028096628364e-05,-2.4606793992048565e-06
