kind,name,v_max_1,Ka1_1,Ka2_1,Ka3_1,K_g6p_1,Ks_g6p_pgi,Kp_f6p_pgi,kcat_f_2,Ks_f6p_3,Ks_atp_3,Kp_fbp_3,Kp_adp_3,kcat_f_3,Ks_fbp_4,Kp_g3p_4,Kp_dhap_4,kcat_f_4,kcat_f_5,Ks_dhap_5,Kp_g3p_5,kcat_f_6,Ks_g3p_6,Ks_pi_6,Ks_nad_6,Kp_pgp_6,Kp_nadh_6,kcat_f_7,Ks_pgp_7,Ks_adp_7,Ks_3pg_7,Ks_atp_7,kcat_f_8,Ks_3pg_8,Ks_2pg_8,kcat_f_9,Ks_2pg_9,Ks_pep_9
concentration,C_g6p,-1.484029938915916e-06,0.00013036835845442427,9.669739369230502e-05,6.194144594103739e-06,-2.2727957083805836e-08,0.003295672712928812,-0.026151181110631236,-7.470674349558911e-07,0.011061396226608462,0.4619522063907217,-0.02148080825030296,-5.9615781953303985e-05,-4.5254145179767694e-05,3.506498744563129e-05,-9.986042230810127e-11,-9.96544284798521e-11,-7.599286235754724e-07,-2.2001057834007934e-09,8.985553806126534e-06,-5.690012777646253e-07,-3.2448001472043603e-10,6.648205924753167e-07,1.1163968439946046e-06,1.3148673939702386e-05,-3.712058182934374e-11,-3.986841204546859e-11,-1.0733327684334032e-09,1.11496247187851e-05,1.114962471889041e-05,-1.7195568157667096e-10,-1.7648409384927192e-10,-9.42360362310826e-09,6.133899419313787e-06,-6.046212633090162e-05,-5.308485303427947e-10,1.7211340428913397e-05,-1.7028701427518134e-10
concentration,C_f6p,-5.611143559065235e-07,4.9292507897908425e-05,3.656145631343051e-05,2.342017073355908e-06,-8.593480943832498e-09,1.762778642844821e-08,-1.3987658237110207e-07,-3.995889865901744e-12,0.004182333560312483,0.1746649497466467,-0.008121931753223632,-2.254083304490961e-05,-1.7110672671982146e-05,1.3258134037597476e-05,-3.7757403052395656e-11,-3.767951642003684e-11,-2.873303624018784e-07,-8.318639046522961e-10,3.397453854729431e-06,-2.151403938140532e-07,-1.2268646992524933e-10,2.5136984690627113e-07,4.2211162972046446e-07,4.9715369720093415e-06,-1.4035357925312672e-11,-1.5074317410893352e-11,-4.058290262593477e-10,4.215692910771758e-06,4.215692910811425e-06,-6.501674864160502e-11,-6.672894936548608e-11,-3.5630812685388675e-09,2.319238265759014e-06,-2.2860837361346713e-05,-2.0071477241617805e-10,6.507638393453972e-06,-6.438582262551222e-11
concentration,C_fbp,-3.3589645639218514e-05,0.002950767264338162,0.002188656106717853,0.00014019873622362822,-5.144262959452895e-07,1.0552414041078488e-06,-8.373346347870764e-06,-2.3920351251451676e-10,3.5417483116908243e-06,0.00014791247086248395,-6.877939709929222e-06,-1.9088376436173915e-08,-1.4489924147351987e-08,0.0007936635737213118,-2.260248339322822e-09,-2.2555858594591184e-09,-1.720028185081012e-05,-4.979736042060612e-08,0.00020337970330254707,-1.287881788339151e-05,-7.344305154465676e-09,1.504759949054056e-05,2.5268610465262477e-05,0.00029760807881280094,-8.401900520591354e-10,-9.023846487238164e-10,-2.4293894934349545e-08,0.0002523614478650749,0.00025236144786508247,-3.892057882210023e-09,-3.994554307502158e-09,-2.1329455553210264e-07,0.00013883514233465713,-0.0013685043299882529,-1.2015266596324017e-08,0.00038956280730672037,-3.854289420471759e-09
concentration,C_dhap,-0.00010513365023722005,0.009235731059280827,0.006850367166260582,0.00043881394451585374,-1.6101245857620497e-06,3.3028446292207456e-06,-2.6208090306078154e-05,-7.486931743980553e-10,1.108546759976432e-05,0.0004629574885190881,-2.152755393596943e-05,-5.974551546107101e-08,-4.535262546136834e-08,3.514061688901676e-08,-1.000758049148911e-13,-9.986936678050158e-14,-7.615676654122065e-10,-3.125875442631606e-07,0.0012766532497173366,-8.084280012391767e-05,-2.2987250822720425e-08,4.709811704359986e-05,7.908929088457209e-05,0.0009314960926399283,-2.6297463217050154e-09,-2.824411816028813e-09,-7.603848758629937e-08,0.0007898767518591714,0.0007898767518591587,-1.2181916311128899e-08,-1.2502724200652099e-08,-6.675996359006918e-07,0.0004345459744230875,-0.004283339488668709,-3.7607090294368496e-08,0.0012193090808484538,-1.2063703214096403e-08
concentration,C_g3p,-1.1864464778332496e-05,0.0010422638765775081,0.0007730725583992924,4.9520706046086986e-05,-1.8170458643257483e-07,3.7273017424288836e-07,-2.9576159834870036e-06,-8.449096723441255e-11,1.25100897374225e-06,5.224533538042778e-05,-2.4294115619615623e-06,-6.742356631329229e-09,-5.11810087615508e-09,3.965663387916902e-09,-1.1293682089264886e-14,-1.1270385282704962e-14,-8.594388134021115e-11,-2.4882033160079257e-13,1.0162186310480158e-09,-6.435103623929101e-11,-2.5941401931886077e-09,5.315081798539519e-06,8.925326039061057e-06,0.0001051205066822082,-2.967701828999114e-10,-3.187384289919228e-10,-8.581039046301635e-09,8.913858579547445e-05,8.913858579547304e-05,-1.374744591098505e-09,-1.4109481652850084e-09,-7.533945932917902e-08,4.90390602483442e-05,-0.000483380253442239,-4.244007481974359e-09,0.00013760056471944125,-1.361404094286177e-09
concentration,C_pgp,-6.085426854146836e-08,5.345896930146631e-06,3.965182243769427e-06,2.539976644875886e-07,-9.31984704289218e-10,1.911777947312978e-09,-1.5169968531088618e-08,-4.333643452237602e-13,6.4165756701369874e-09,2.6797261643728266e-07,-1.2460744445826401e-08,-3.4582359062192954e-11,-2.625135570451706e-11,2.0340365299718418e-11,-5.792665612899113e-17,-5.780716353261592e-17,-4.408165162113109e-13,-1.2762294881526115e-15,5.212307971635602e-12,-3.300642278388566e-13,-1.882231661909439e-16,3.856466645096048e-13,6.475953768263614e-13,7.627233984616992e-12,-2.153277083642697e-17,-2.3126719550845202e-17,-4.4013182578798036e-11,4.572025404223951e-07,4.5720254042230045e-07,-7.0512305515399505e-12,-7.236923043098804e-12,-3.8642515911547264e-10,2.515272451922162e-07,-2.4793155275187507e-06,-2.176802542933525e-11,7.057698660111674e-07,-6.9828055369572815e-12
concentration,C_3pg,-0.00013767857126994933,0.012094721851720827,0.00897095042355363,0.0005746521384728348,-2.1085508972070073e-06,4.325265304227635e-06,-3.432100398791173e-05,-9.80456840774823e-10,1.4517058406670181e-05,0.0006062695001498908,-2.8191571986359107e-05,-7.824019417127927e-08,-5.939187560590706e-08,4.601866939680723e-08,-1.3105505220701092e-13,-1.307847095345231e-13,-9.97316886280568e-10,-2.88738086278823e-12,1.1792485801934344e-08,-7.467474596647479e-10,-4.258418927130975e-13,8.724988981106077e-10,1.4651397069696823e-09,1.725608911165138e-08,-4.871640368707182e-14,-5.232260258361453e-14,-1.4086227371267988e-12,1.4632567367213425e-08,1.4632567350425442e-08,-2.256715569829299e-13,-2.3161456861212097e-13,-8.742601806728703e-07,0.0005690629857777659,-0.005609279804645963,-4.924865111867843e-08,0.0015967554803763746,-1.5798114295465176e-08
concentration,C_2pg,-2.5705459182922228e-05,0.0022581609906353415,0.0016749331273385282,0.00010729118521232504,-3.936797754604468e-07,8.075543616386016e-07,-6.40794830299989e-06,-1.8305748722330357e-10,2.710426531091851e-06,0.00011319434641408007,-5.26354461933591e-06,-1.4607938615317298e-08,-1.1088838445369539e-08,8.591977950406967e-09,-2.4468810889357552e-14,-2.4418336194880928e-14,-1.8620539899667805e-10,-5.390923499050231e-13,2.2017320138249664e-09,-1.3942249461256103e-10,-7.950738679358238e-14,1.629010874075445e-10,2.735508914570068e-10,3.2218214683414715e-09,-9.09566206682774e-15,-9.76896232081424e-15,-2.629988149119356e-13,2.731993298865559e-09,2.731993295742722e-09,-4.213431353411952e-14,-4.324391155641398e-14,-2.309072232890711e-12,1.5029936992636332e-09,-1.4815077338395868e-08,-9.195034343267798e-09,0.0002981243373444065,-2.9496077599286297e-09
concentration,C_pep,-0.00011634257040621275,0.010220406963828803,0.0075807253201118745,0.00048559849410602563,-1.7817894894652592e-06,3.654980426810711e-06,-2.900228979750199e-05,-8.28515781184957e-10,1.2267354855660198e-05,0.0005123161241181753,-2.3822733766549908e-05,-6.611533817580025e-08,-5.0187937059352024e-08,3.888717965130941e-08,-1.1074551755201193e-13,-1.1051706974623818e-13,-8.42763196644409e-10,-2.4399249134883225e-12,9.965010252389337e-09,-6.310243842085446e-10,-3.598493910892979e-13,7.372881876457881e-10,1.2380877513403535e-09,1.4581921760976172e-08,-4.116684736365797e-14,-4.421419549404134e-14,-1.1903291912484998e-12,1.2364965884486202e-08,1.2364965869918847e-08,-1.9069935113995135e-13,-1.9572137725107153e-13,-1.0450830666061322e-11,6.802529786394128e-09,-6.705284588686513e-08,-5.886667180441571e-13,1.908593960182196e-08,-1.8883409301199367e-13
flux,v_pts,1.9468552204388034e-13,-1.710265262744315e-11,-1.2685408279367039e-11,-8.125908800005188e-13,2.981605102246078e-15,-6.876582742890289e-15,5.289937020709647e-14,1.5347688095481701e-18,-1.215514201515779e-13,-5.075431129514624e-12,2.3607931673813494e-13,6.551752101654013e-16,4.97419232185351e-16,-5.449342727699605e-12,1.5518946487265487e-17,1.548702550588608e-17,1.180975927709973e-13,3.3608293010946894e-16,-1.3722926143506754e-12,8.690669984218298e-14,5.0055895144336086e-17,-1.0263621216350555e-13,-1.7205539630756616e-13,-2.0311899355218205e-12,5.7156731737968585e-18,6.172965396507314e-18,1.6807947501185745e-16,-1.7508811450030839e-12,-1.7509898512443328e-12,2.696123648061479e-17,2.764366878129542e-17,1.2789078558054758e-15,-8.323041448223004e-13,8.207518757862643e-12,4.226328372928456e-16,-1.3706858869841471e-11,1.3553236238839546e-16
